,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44
1,20050,44,2600,643,1007,911.8,639.6,304.8,107.8,1579,1429,1003,478.5,169.1,1294,908.5,433.8,153.3,641,307.6,109.8,148.6,53.4,19.81,601.5,844,767,514,241.8,71.21,1185,1077,721.9,339.4,99.71,980.1,656.9,309.4,90.48,440.4,207.4,60.72,98.11,28.58,8.569,9.432
2,20100,44,3706,392.7,612.4,560.4,398,192.9,67.29,956.1,874.1,620.8,300.9,105,800.6,568.7,276.1,96.16,406.3,198.1,69.89,97.07,34.49,12.73,459.6,649.2,582.4,390.4,177,53.04,918.4,824.1,552.9,250.4,74.65,740.7,496.9,225.6,66.84,333.7,151.4,44.92,69.2,20.41,6.295,9.484
3,20150,44,2489,629.9,987,896.1,629.8,301.2,100.8,1547,1404,987.4,472.5,158.2,1276,896.9,429.7,143.6,632.1,303.4,101.9,146.2,49.24,17.03,709.6,1008,900.3,608.9,272.4,83.82,1432,1280,866.1,387.3,118.7,1146,775.2,347.4,105.9,525,235.3,71.85,106.1,32.22,10.17,9.412
4,20200,44,2639,647.4,1015,929.5,646.7,311.7,99.9,1592,1457,1015,489.5,157.2,1336,929.8,449.1,143.8,648.6,313.9,101.2,152.7,49.47,16.66,766.2,1088,978.9,660.7,299.5,89.17,1549,1395,941.8,426.8,125.9,1258,849.9,385.8,112.9,575,261.3,76.52,119.2,34.88,10.87,9.497
5,20250,44,6291,514.8,805.2,750.1,516.5,253.3,77.35,1260,1174,808.9,397.2,121.7,1095,754.3,371.2,113.1,521.1,257.2,79.32,127.9,39.71,13.06,788.1,1113,1015,684,321.9,92.34,1573,1436,968,455.4,129.9,1313,885.3,417.3,118.4,597.7,281.9,80.12,133.6,37.88,11.26,9.491
6,20300,44,5917,715.1,1104,1043,706.8,342.5,96.74,1705,1610,1092,529.9,150.6,1526,1034,503.3,141.5,702.9,343.1,97.83,169.1,48.44,14.99,1067,1511,1380,927.6,435.3,122.3,2141,1956,1315,617.4,172.5,1790,1204,566.1,157.5,810.8,381.8,106.4,180.4,50.21,14.58,9.427
7,20350,44,3700,1065,1643,1548,1051,507.3,142,2537,2390,1622,783,219.6,2256,1532,741.5,206.7,1041,504.9,141.8,246.2,69.09,20.3,1019,1442,1307,880.5,407.8,118.6,2042,1852,1247,577.8,167.2,1682,1133,526.2,151.5,764.7,355.6,102.8,166.1,48,14.57,9.375
8,20400,44,2314,603,932.6,879.2,598,290.1,81.62,1443,1359,924.8,448.4,126.5,1287,875.8,427.7,119.7,597.2,292.3,82.34,144.7,40.67,11.99,591,828.5,745.2,507.2,235.2,75.55,1163,1047,712,330.2,105.2,944.2,642.8,299,94.55,438.6,204.6,65.18,96.21,30.64,10.51,9.495
9,20450,44,1690,668.6,1040,967.5,653.3,312.2,87.08,1618,1505,1017,486.2,136,1403,948.1,454.9,127.1,642.1,309,86.81,150,42.46,12.36,857.3,1211,1095,733.7,338,97.97,1713,1550,1038,478,137.5,1404,939.7,433.5,123.9,629.9,290.9,83.7,134.8,38.8,12.04,9.566
10,20500,44,4687,686.7,1068,980.9,651.9,302.8,84.63,1663,1525,1015,471.5,132.2,1405,934.7,436.7,122,623.5,292.3,82.12,138.7,39.09,11.3,946.9,1346,1224,812.4,374.1,99.68,1915,1742,1156,532.3,141.1,1587,1053,486.2,128.1,700.2,323.6,85.8,150.3,39.78,11.27,9.39
11,20550,44,2540,592.5,922.5,856.1,578.8,276.6,78.93,1437,1333,902.3,431.4,123.7,1239,837.9,401.3,114.5,568.7,273.2,78.71,132,38.3,11.55,645.8,922.4,839.6,542.2,245.9,55.69,1319,1201,775.4,351.6,79.03,1095,707.3,321.4,71.85,458.1,208.6,47.26,95.53,21.75,5.614,9.482
12,20600,44,4111,548.7,850.9,800.8,536.9,259.6,70.81,1320,1242,833.5,403.2,110.4,1170,785.1,380.5,103.9,528.3,256.8,70.8,125.6,34.92,10.1,680,966.3,879,582.2,268.3,70.95,1374,1250,828.6,381.9,100.7,1140,756,349.3,92.01,503.7,233.5,62.24,108.9,29.18,8.334,9.552
