  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
1,20050,14,6.719,8.191,4.146,10.07,5.134,2.641,7.059,9.585,4.823,13.44,7.051,4.021,0.1612,6.144
2,20100,14,8.631,10.36,5.164,12.5,6.258,3.153,3.429,4.47,2.173,6.157,3.229,1.952,0.5782,5.938
3,20150,14,15.44,18.2,8.786,21.5,10.41,5.069,4.13,5.666,3.025,8.622,5.242,3.692,0.1205,6.371
4,20200,14,13.81,16.32,7.886,19.33,9.373,4.57,5.413,6.215,2.781,7.716,3.968,2.511,0.3372,6.474
5,20250,14,21.55,25.99,12.78,31.45,15.53,7.711,5.902,6.755,3.039,8.585,4.621,3.127,0.1454,6.476
6,20300,14,16.11,19.5,9.448,23.68,11.54,5.681,9.915,11.61,5.434,14.41,7.504,4.61,0.1926,6.08
7,20350,14,16.2,19.52,9.433,23.64,11.51,5.674,10.99,12.43,5.352,14.78,7.055,4.032,0.3035,5.828
8,20400,14,9.952,11.8,5.502,14.12,6.678,3.229,17.82,19.4,7.689,21.86,9.426,4.828,1.76E-02,5.956
9,20450,14,7.618,9.223,4.489,11.33,5.632,2.882,15.81,16.85,6.301,18.72,7.788,4.035,0.139,5.807
10,20500,14,8.352,10.29,5.119,12.86,6.518,3.386,19.42,22.63,10.52,26.98,13.12,6.941,2.06E-02,6.035
11,20550,14,8.812,10.55,5.071,12.99,6.455,3.33,18.58,22.45,11.17,27.56,14.14,7.66,0.1805,5.988
12,20600,14,12.51,13.95,6.135,15.94,7.276,3.496,17.42,21.58,11.24,27.43,14.95,8.789,0.2251,5.796
13,20650,14,19.77,22.66,10.43,26.33,12.35,5.932,11.43,13.33,6.121,15.92,7.709,4.162,0.1045,6.343
14,20700,14,17.93,20.87,9.755,24.84,11.94,5.952,13.4,15.48,6.945,18.21,8.523,4.367,0.2628,6.098
