  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
1,20050,14,15.16,19.57,10.55,25.55,13.9,7.629,18.6,26.23,13.72,38.51,21.07,12.46,0.1946,12.43
2,20100,14,19.65,24.85,13.18,31.63,16.86,9.048,8.692,11.67,5.907,16.95,9.41,6.026,0.6222,11.95
3,20150,14,35.32,43.74,22.55,54.35,28.13,14.63,10.57,14.91,8.157,24.15,15.32,11.17,0.3068,12.69
4,20200,14,33.72,41.87,21.59,52.17,27,14.05,13.55,15.56,7.148,19.97,10.85,7.24,0.8036,12.93
5,20250,14,52.16,66.37,34.84,84.83,44.72,23.7,15.3,17.51,8.066,22.92,12.9,9.011,0.274,12.95
6,20300,14,37.56,47.92,24.81,61.48,32.04,16.85,25.27,29.79,14.38,37.89,20.63,13.14,0.6168,12.23
7,20350,14,38.07,48.29,24.91,61.68,32.09,16.88,27.7,31.65,14.28,38.67,19.66,11.86,0.6987,11.7
8,20400,14,23.1,28.81,14.39,36.4,18.47,9.565,44.62,48.44,19.85,55.08,24.91,13.37,3.32E-02,11.88
9,20450,14,17.89,22.81,11.84,29.7,15.77,8.596,39.53,41.7,15.95,46.72,20.45,11.29,0.5373,11.64
10,20500,14,20.21,26.25,13.88,34.73,18.73,10.31,47.09,55.15,26.38,66.67,33.7,18.61,5.77E-02,12.25
11,20550,14,20.84,26.11,13.34,33.97,17.99,9.836,46,55.82,28.3,69.16,36.28,20.09,0.2451,12.1
12,20600,14,27.89,32.14,15.07,38.51,18.92,9.795,42.95,53.79,28.64,69.61,39.01,23.5,0.5916,11.7
13,20650,14,44.59,53.46,26.4,65.59,33.19,17.21,28.36,33.19,15.59,40.06,20.01,11.15,0.148,12.73
14,20700,14,38.77,47.22,23.6,59.62,30.93,16.63,33.87,39.36,18.22,46.83,22.75,12.08,0.5649,12.3
15,20750,14,28.84,36.07,18.48,47.65,25.71,14.51,30.54,37.12,18.59,45.66,23.39,12.47,0.4371,12.51
16,20800,14,25.45,30.23,14.54,38.56,20.04,11.22,48.7,59.35,29.98,72.79,37.2,19.41,5.38E-02,11.79
17,20850,14,20.96,24.62,11.69,32.76,17.58,10.39,55.31,67.87,34.85,84.08,43.88,23.52,0.4102,11.73
18,20900,14,23.32,27.18,12.77,35.51,18.64,10.69,55.58,66.22,32.11,79.6,39.24,19.91,0.159,11.7
19,20950,14,47.46,51.61,22.34,62.82,30.91,17.07,63.07,76.89,38.59,94.36,47.9,24.79,0.2586,11.44
20,21000,14,41.7,49.29,23.63,64.67,34.15,19.45,71.72,86.59,42.62,105.6,52.97,27.48,0.284,11.76
21,21050,14,59.31,61.79,24.96,68.7,30.3,14.79,31.99,38.61,18.98,47.66,24.4,13.36,0.1014,11.71
22,21100,14,59.78,59.59,22.81,63.4,26.68,12.59,54.61,65.07,31.33,78.82,39.17,20.6,0.2153,12.09
23,21150,14,71.35,74.08,30.58,79.93,34.75,16.1,68.33,84.03,42.85,105.8,56.2,31.87,9.26E-02,12.13
24,21200,14,101.3,104.6,42.35,110.8,46.55,20.59,39.39,47,22.67,58.33,30.26,17.62,8.98E-02,11.86
25,21250,14,87.29,91.88,38.22,99.86,43.38,19.89,55.08,66.58,33.08,83.11,43.71,25.16,0.4055,12.02
26,21300,14,60.96,62.2,24.66,65.9,27.59,12.41,38.99,48.02,24.76,60.98,33.1,19.44,0.8364,11.36
27,21350,14,65.13,68.65,28.25,75.12,32.53,15.02,32.94,41.31,21.9,53.64,30.09,18.3,0.1211,12.56
28,21400,14,55.71,59.06,24.22,65.59,28.53,13.29,36.28,44.9,23.35,57.5,31.64,18.94,0.5927,12.13
29,21450,14,62.92,69.85,30.38,79.66,35.75,16.61,36.38,46.12,24.99,60.58,34.66,21.4,0.2313,12.04
30,21500,14,68.06,72.49,30.71,78.27,33.74,14.85,23.16,29.6,16.21,39.58,23.21,14.89,8.98E-02,12.25
31,21550,14,50.33,50.51,19.81,51.8,20.91,8.772,14.43,19.56,11.69,28.7,18.96,13.92,0.1024,13.01
32,21600,14,44.72,46.52,19.21,49.78,21.32,9.546,15.64,20.05,11.01,27.68,16.96,11.85,7.22E-02,12
33,21650,14,31.72,33.35,14.02,36.22,15.92,7.42,15.55,17.57,7.558,21.34,10.68,6.762,0.3678,12.4
34,21700,14,34.1,35.95,15.18,39.26,17.45,8.296,25.74,35.09,21.17,49.04,30.59,19.92,0.6696,11.51
35,21750,14,22.09,24.66,11.23,29.41,14.52,7.81,22.69,30.34,17.77,41.54,25.21,16.04,0.5105,12.21
36,21800,14,23.96,26.8,12.14,31.6,15.29,7.943,27.16,36.85,22.05,51.24,31.78,20.67,8.01E-02,12.89
37,21850,14,28.32,32.27,15,38.93,19.31,10.24,35.81,43.53,21.42,53.79,27.33,14.74,8.81E-02,12.63
38,21900,14,29.41,32.88,14.75,38.05,17.82,8.779,38.41,48.21,25.28,61.67,33.46,19.22,0.2083,12.36
39,21950,14,17.07,19.95,9.521,24.25,12.09,6.311,43.89,51.75,23.93,61.99,29.67,15.21,0.2792,12.66
40,22000,14,9.658,11.35,5.531,14.21,7.404,4.117,28.16,33.98,16.48,41.82,21.08,11.41,0.2389,12.52
