  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28
1,20050,28,1.19E-04,9.71E-03,3.74E-02,6.46E-02,5.27E-02,2.58E-02,0.1211,8.93E-02,5.67E-02,7.77E-02,3.59E-02,3.36E-02,1.282,1.495,1.737,0.8023,0.5701,1.761,2.019,0.9447,0.6449,2.363,1.086,0.7838,0.5086,0.3492,0.2794,0.2421
2,20100,28,6.42E-04,8.59E-03,3.13E-02,5.61E-02,4.42E-02,2.44E-02,0.1071,7.77E-02,5.17E-02,6.51E-02,3.35E-02,2.91E-02,2.334,2.727,3.169,1.469,1.037,3.202,3.69,1.723,1.19,4.321,1.993,1.429,0.9293,0.6467,0.4933,0.2426
3,20150,28,4.69E-04,9.21E-03,3.55E-02,6.41E-02,5.06E-02,2.84E-02,0.1293,9.05E-02,6.88E-02,7.47E-02,4.05E-02,4.58E-02,1.404,1.62,1.917,0.8817,0.6568,1.887,2.201,1.026,0.7357,2.629,1.202,0.9126,0.5596,0.4041,0.3364,0.2439
4,20200,28,1.59E-04,9.18E-03,3.21E-02,5.68E-02,4.82E-02,2.52E-02,0.1143,8.18E-02,6.13E-02,7.63E-02,3.49E-02,4.05E-02,1.66,1.978,2.233,1.072,0.7018,2.37,2.656,1.284,0.8222,3.009,1.441,0.9505,0.697,0.4462,0.3126,0.2419
5,20250,28,2.22E-04,9.15E-03,3.61E-02,6.05E-02,5.18E-02,2.30E-02,0.1181,8.06E-02,5.76E-02,8.07E-02,2.75E-02,3.72E-02,2.517,2.965,3.363,1.598,1.087,3.512,3.961,1.895,1.265,4.5,2.137,1.458,1.024,0.6813,0.487,0.2406
6,20300,28,1.39E-04,8.99E-03,5.22E-02,8.82E-02,7.35E-02,3.35E-02,0.1595,0.1187,6.81E-02,0.1092,4.26E-02,3.47E-02,1.44,1.746,1.905,0.9427,0.5694,2.129,2.308,1.151,0.6783,2.528,1.249,0.7605,0.6237,0.3678,0.2402,0.2441
7,20350,28,3.49E-05,8.19E-03,7.41E-02,0.1363,9.59E-02,5.86E-02,0.2596,0.1717,0.1173,0.1296,7.21E-02,5.72E-02,1.124,1.297,1.499,0.6934,0.5043,1.515,1.727,0.8112,0.565,2.007,0.9259,0.6801,0.4359,0.303,0.246,0.2422
8,20400,28,2.45E-04,6.53E-03,8.01E-02,0.1479,0.1039,6.43E-02,0.28,0.1888,0.1263,0.1386,8.10E-02,6.04E-02,0.9009,1.021,1.204,0.5429,0.4198,1.179,1.36,0.6287,0.4549,1.616,0.725,0.569,0.3369,0.2423,0.2186,0.2423
9,20450,28,2.43E-03,9.00E-03,9.82E-02,0.1846,0.1293,8.39E-02,0.3534,0.2397,0.1643,0.1779,0.1091,7.95E-02,1.046,1.138,1.402,0.5884,0.5178,1.257,1.521,0.6506,0.5464,1.888,0.7893,0.7057,0.3399,0.2853,0.2794,0.2428
10,20500,28,9.04E-05,7.92E-03,0.1012,0.1957,0.1248,8.99E-02,0.3865,0.2365,0.1823,0.1609,0.1076,8.96E-02,1.547,1.714,2.052,0.8796,0.7266,1.919,2.266,0.9861,0.785,2.731,1.165,0.9763,0.5088,0.4044,0.3659,0.242
