  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32
1,20050,32,64.63,2723,3580,2583,1173,267.6,4707,3397,1543,351.9,2455,1117,256.2,509.9,117.5,27.68,294.2,405.1,303.6,137.3,27.71,564,428.2,198.7,43,334.3,163.9,39.92,88.53,25.49,9.126,3.14
2,20100,32,37.72,3617,4756,3447,1564,369.5,6253,4532,2057,486,3289,1495,354.2,681.2,162,38.95,298.8,411.5,316.6,151.3,33.45,572.5,445.7,217.5,50.44,356.5,182.7,46.62,101.6,29.61,10.27,3.104
3,20150,32,78.21,8667,1.14E+04,8167,3648,830.1,1.50E+04,1.07E+04,4798,1092,7701,3442,784.5,1540,351.6,80.89,316.1,426.7,309.8,130.5,20.08,581.7,427,183.9,30.54,320.3,144.5,27.51,71.33,16.81,5.599,3.122
4,20200,32,36.54,6352,8358,5977,2664,598.3,1.10E+04,7866,3505,787.3,5630,2511,565.9,1121,253.5,58.25,356.1,488,367.3,167.8,33.07,675.2,514.4,240.3,50.23,400.5,194.9,44.51,101.7,26.52,8.49,3.104
5,20250,32,31.72,6375,8382,6007,2684,612.1,1.10E+04,7899,3529,804.7,5665,2533,579.1,1135,260.1,60.23,446.4,612.5,465.3,218.2,48.03,846.1,646.9,306.8,69.4,500.6,242.9,57.67,122.9,31.81,9.689,3.109
6,20300,32,37.75,7279,9577,6916,3116,729.7,1.26E+04,9100,4099,960,6577,2965,696.4,1339,315.4,75.11,708.5,981.5,763.7,378.9,98.72,1364,1064,530.2,139.4,836.1,422,113.6,218.3,61.45,18.74,3.112
7,20350,32,77.61,8164,1.07E+04,7731,3474,804.7,1.41E+04,1.02E+04,4569,1058,7325,3294,764.5,1483,344.9,80.82,665.3,923,728.4,373.2,104.7,1285,1017,523.1,147.8,810.8,422.5,121.8,225.4,67.33,21.39,3.103
8,20400,32,64.93,8435,1.11E+04,8015,3623,846.6,1.46E+04,1.05E+04,4765,1113,7622,3448,807.5,1562,366.5,86.83,782,1079,844.8,426,115.6,1495,1174,594.5,162.7,927.2,474.7,132.3,247.8,71.4,21.91,3.108
9,20450,32,41.88,5154,6783,4889,2201,509,8925,6434,2897,669.9,4645,2095,487.1,946.4,221.3,52.95,1067,1441,1106,547.7,151.2,1951,1500,744.5,206.3,1159,580.1,162.8,294.8,84.87,25.63,3.139
10,20500,32,76.55,5975,7857,5690,2588,602.9,1.03E+04,7483,3403,792.8,5424,2470,577.5,1127,264.5,63.02,987.2,1343,1047,533.9,155.9,1831,1431,731.3,213.9,1122,576.9,169.8,299.6,89.31,27.28,3.101
11,20550,32,80.77,5134,6757,4890,2208,519.4,8895,6438,2907,683.8,4665,2110,498.2,956.6,226.7,54.64,915.2,1264,1012,538.7,166.7,1748,1401,746,230.6,1126,602.2,186.9,324.4,101.6,32.44,3.128
12,20600,32,55.89,4812,6345,4612,2104,487,8369,6084,2775,642.9,4431,2026,471.9,929.3,217.6,51.91,1593,2190,1713,876,261.2,3015,2359,1207,359.6,1849,948.5,283.2,488.7,146.8,44.64,3.115
13,20650,32,82.73,5268,6953,5085,2345,546.5,9177,6714,3096,721.7,4919,2273,532.1,1053,247.6,59.12,1587,2168,1673,836.1,241.1,2964,2289,1145,330.6,1772,890.4,258.3,450.8,132.3,39.77,3.139
14,20700,32,59.77,3904,5144,3774,1744,418.5,6779,4974,2298,551.6,3658,1694,409.4,787,191.5,47.88,1024,1413,1086,531.6,143.2,1954,1504,737.1,198.7,1162,573,156.1,286.4,80.07,23.86,3.116
15,20750,32,73.59,3730,4905,3539,1599,369.3,6452,4656,2103,486,3368,1526,355.9,693.8,163.4,39.93,742.2,1018,772.6,373.6,104.4,1399,1063,515.1,144.1,811.2,395.8,112,196.1,57,17.59,3.093
16,20800,32,46.44,4390,5755,4206,1943,474.2,7544,5515,2546,621.6,4040,1870,459.7,868.4,215.1,54.62,764.5,1052,816.2,412.9,124.6,1452,1129,573.5,173.5,883.8,453.7,138.9,237.4,74.45,24.31,3.112
17,20850,32,36.48,4657,6132,4446,2011,476,8075,5855,2648,626.5,4251,1926,458.2,874.7,209.3,51.26,958.2,1301,965.8,448.6,120.4,1769,1317,614.7,165.9,987.3,466.9,128.8,227.1,65.66,20.57,3.1
18,20900,32,63.28,3307,4358,3132,1404,316.5,5744,4127,1850,417,2972,1336,303.5,602.9,138.1,32.84,1093,1497,1136,543.9,145.1,2055,1562,750.1,200.9,1192,577.7,156.9,284.9,79.7,23.57,3.083
19,20950,32,52.2,3794,5016,3555,1557,327.1,6632,4700,2059,432.5,3335,1463,308.6,643.6,136.4,29.53,992.9,1352,1020,482.2,123.2,1847,1398,664.3,171.3,1064,512.4,135,253,69.8,21.04,3.124
20,21000,32,56.53,3142,4156,2946,1294,268.2,5499,3898,1712,354.9,2768,1218,253.9,537.6,112.6,24.37,788,1080,834,412.7,111.6,1486,1153,574.9,157.5,903.9,459.8,129.9,242.5,72.46,23.73,3.112
21,21050,32,55.35,2338,3098,2220,986.4,211.6,4107,2943,1308,280.6,2114,942.8,204.4,422.7,92.67,21.23,641.4,878.3,679.1,335.7,87.99,1207,935.5,464.3,122.5,731.3,368.9,100.1,192.1,55.29,17.81,3.113
22,21100,32,57.59,2263,2987,2127,952.3,197.8,3941,2808,1257,261.3,2006,902.1,189.7,408,86.89,19.39,1164,1556,1177,568,151.8,2086,1581,766.4,206.1,1204,589.5,160.9,293.9,82.73,24.74,3.085
23,21150,32,50.73,1456,1922,1344,584.5,114,2536,1774,771.7,150.6,1249,547.9,109.5,243.7,50.1,11.29,1099,1480,1137,562.7,151.1,1999,1541,767.1,208.1,1197,603.9,167.5,312.5,90.13,27.67,3.127
24,21200,32,86.59,1530,2022,1446,650.2,135.7,2673,1913,860,179.7,1375,622,132.4,283.8,61.55,14.4,1712,2312,1744,828.9,210.3,3130,2365,1127,287.3,1794,861.8,222.6,420.9,111.6,31.02,3.098
25,21250,32,49.81,1962,2589,1886,861.8,199.6,3418,2489,1138,263.8,1820,835.5,196.3,385.5,91.76,22.99,1689,2306,1771,867.1,225.5,3156,2431,1196,313.2,1882,934.7,248.5,472.6,129.2,37.01,3.13
26,21300,32,26.57,2715,3590,2640,1213,292.4,4746,3491,1605,387.1,2578,1190,291.2,551.9,136.8,35.68,1341,1839,1417,693.9,175.8,2525,1950,958.5,244.5,1513,750.9,195,379.8,102.1,29.49,3.136
27,21350,32,55.95,3364,4442,3296,1536,382.8,5864,4353,2029,505.5,3239,1514,380.8,709.5,179.9,47.2,1037,1399,1049,490.5,118,1892,1423,669.3,163,1077,513.7,128.5,251.9,66.49,19.51,3.134
28,21400,32,52.11,6293,8300,6086,2792,676.8,1.10E+04,8027,3682,892.8,5893,2707,660.2,1245,305.1,76.57,1633,2150,1583,722.1,168.7,2836,2095,960.5,226.7,1557,723.1,174.9,345,87.84,24.72,3.14
29,21450,32,50.03,4557,6011,4361,1975,461.2,7928,5753,2605,608.6,4183,1899,447.1,864.1,205.2,50.24,1143,1538,1147,529.2,120.5,2075,1552,719.5,165.4,1168,546.8,128.2,261.6,63.77,16.84,3.117
30,21500,32,44.32,7467,9852,7089,3184,713.9,1.30E+04,9353,4201,942.1,6739,3032,683.4,1367,309.8,71.63,853.8,1138,820.1,355.9,80.8,1520,1099,479.5,110,800.6,355.1,84.1,163.7,41.67,12.32,3.121
31,21550,32,80.76,5376,7094,5126,2314,527.1,9359,6763,3054,695.8,4896,2215,508,1005,232.1,54.85,629,815.5,568.1,226.8,39.68,1064,745.2,300.8,53.68,527.4,217.7,40.89,94.74,20.12,5.833,3.108
32,21600,32,28.17,6904,9112,6608,2989,694.7,1.20E+04,8721,3945,917.1,6333,2869,670.1,1302,305.6,72.98,440,563.6,384.8,146.9,23.9,729,503.1,196.7,33.98,354.4,145.6,28.36,66.85,16.39,5.875,3.13
33,21650,32,66.41,7598,1.00E+04,7266,3282,768.1,1.32E+04,9586,4330,1014,6959,3147,740,1425,336.7,80.86,337,424.6,286.5,108.6,19.99,540.1,367.5,141.9,27.14,258.2,108.5,24.97,55.23,17.37,7.855,3.116
34,21700,32,99.91,6941,9150,6644,3010,709.6,1.21E+04,8759,3968,935.9,6369,2889,684.5,1313,312.4,75.68,365.1,472.1,325.2,126.1,20.5,618.2,431.4,172.2,30.4,308.3,130.1,26.4,61.93,15.99,5.908,3.102
35,21750,32,38.95,9560,1.26E+04,9193,4186,1001,1.66E+04,1.21E+04,5520,1321,8849,4032,967.8,1838,442.4,107.8,313.8,407.8,277.4,102.5,13.02,535.8,369.3,140.9,20.48,261.6,107,19.32,51.03,12.92,5.111,3.131
36,21800,32,34.77,6713,8851,6437,2927,688.9,1.17E+04,8488,3860,908.7,6179,2813,664.7,1282,303.9,73.21,285.9,372.6,250.7,91.79,15.56,491,334.4,126,22.92,232.9,93.22,19.79,43.19,12.39,5.443,3.119
37,21850,32,26.14,6839,9021,6570,2993,705.9,1.19E+04,8666,3949,931.2,6318,2881,681.7,1316,312.2,75.04,592.9,769.9,529.4,208.9,43.97,1006,697,280.1,60.84,491.5,205.9,48.29,94.86,25.98,8.919,3.126
