  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
1,20050,18,2.994,3.626,1.994,4.396,2.39,1.449,9.684,12.04,9.495,4.982,15,11.91,6.251,9.627,5.182,3.214,4.15E-02,2.329
2,20100,18,3.878,4.729,2.442,5.77,2.956,1.635,5.044,6.107,4.737,3.203,7.447,5.869,3.94,4.819,3.293,2.605,7.47E-02,2.37
3,20150,18,4.798,5.838,3.102,7.109,3.744,2.151,4.784,5.83,4.515,2.795,7.134,5.58,3.453,4.498,2.885,2.191,0.2175,2.355
4,20200,18,5.079,6.22,3.083,7.622,3.752,1.98,3.927,4.742,3.632,2.391,5.748,4.437,2.887,3.51,2.349,1.984,4.36E-02,2.331
5,20250,18,3.546,4.379,2.008,5.414,2.456,1.248,1.576,1.84,1.169,0.3848,2.179,1.422,0.4022,1.022,0.3885,0.9063,1.90E-02,2.411
6,20300,18,3.713,4.547,2.279,5.574,2.765,1.529,0.5379,0.6408,0.3704,-9.31E-02,0.794,0.4981,-0.1557,0.4859,0.3395,1.982,1.44E-02,2.382
7,20350,18,3.547,4.338,2.165,5.309,2.629,1.411,0.9365,1.162,0.7681,-8.52E-02,1.472,1.021,-0.1021,0.8904,0.3558,1.636,1.49E-02,2.216
8,20400,18,7.261,8.945,4.064,11.02,4.993,2.338,1.071,1.345,0.9449,2.49E-02,1.705,1.214,-3.56E-03,1.006,0.4496,1.973,8.23E-03,2.278
9,20450,18,4.069,4.967,2.494,6.066,3.029,1.602,1.11,1.413,1.065,0.194,1.814,1.391,0.2436,1.189,0.5267,1.391,2.40E-02,2.423
10,20500,18,4.627,5.666,2.797,6.942,3.408,1.768,0.9318,1.228,1.001,0.2088,1.659,1.442,0.4059,1.488,0.7643,1.012,2.66E-02,2.549
11,20550,18,3.867,4.727,2.378,5.787,2.873,1.617,1.337,1.787,1.486,0.2753,2.443,2.143,0.5099,2.136,0.8291,0.8583,3.46E-02,2.342
12,20600,18,3.106,3.739,2.16,4.506,2.58,1.598,1.01,1.408,1.378,0.6966,2.013,2.08,1.156,2.42,1.67,1.67,7.31E-02,2.353
13,20650,18,1.696,2.046,1.133,2.473,1.339,0.8892,1.567,2.06,1.727,0.5693,2.773,2.456,0.9053,2.464,1.185,1.01,1.65E-03,2.267
14,20700,18,2.046,2.501,1.236,3.063,1.483,0.8702,2.542,3.366,2.89,1.062,4.555,4.156,1.829,4.418,2.738,2.721,2.25E-02,2.222
15,20750,18,1.772,2.108,1.328,2.514,1.548,1.137,3.579,4.558,3.455,0.6779,5.879,4.638,1.144,4.136,1.7,1.757,1.26E-02,2.405
16,20800,18,3.247,3.895,2.301,4.68,2.731,1.776,2.175,2.83,2.448,1.245,3.738,3.357,1.802,3.317,2.091,1.812,4.48E-03,2.389
17,20850,18,1.995,2.4,1.389,2.895,1.632,1.154,2.328,2.953,2.397,1.12,3.792,3.179,1.569,2.927,1.738,1.522,1.38E-02,2.397
18,20900,18,2.099,2.526,1.454,3.049,1.701,1.235,4.221,5.119,3.615,1.243,6.237,4.472,1.6,3.385,1.432,0.993,1.63E-02,2.485
19,20950,18,1.315,1.573,0.9568,1.888,1.11,0.8581,8.428,9.937,6.392,1.748,11.75,7.648,2.161,5.203,1.74,1.103,4.31E-04,2.365
20,21000,18,1.302,1.551,0.9694,1.857,1.111,0.9333,8.398,10.08,6.975,2.566,12.12,8.445,3.151,6.054,2.493,1.567,1.91E-02,2.305
21,21050,18,1.559,1.873,1.093,2.26,1.269,0.9771,10.07,12.09,8.491,3.556,14.53,10.26,4.365,7.466,3.574,2.65,2.53E-02,2.157
22,21100,18,1.27,1.533,0.8457,1.858,0.9791,0.7692,11.01,13.32,9.175,2.528,16.15,11.22,3.22,8.121,2.898,2.257,6.91E-03,2.364
23,21150,18,1.857,2.265,1.138,2.771,1.347,0.9012,14.43,17.48,11.66,1.769,21.18,14.19,2.21,9.776,2.232,2.747,1.68E-02,2.389
24,21200,18,1.729,2.079,1.229,2.51,1.427,1.114,11.72,14.19,9.744,2.511,17.2,11.88,3.154,8.516,2.991,3.063,3.11E-02,2.424
25,21250,18,2.048,2.45,1.488,2.944,1.729,1.322,10.06,12.01,7.704,1.011,14.38,9.292,1.308,6.263,1.408,1.695,4.30E-02,2.241
26,21300,18,2.252,2.662,1.828,3.154,2.124,1.67,11.36,13.51,9.037,2.925,16.11,10.84,3.569,7.576,3.031,2.723,2.43E-02,2.302
27,21350,18,3.791,4.502,3.014,5.348,3.564,2.465,9.479,11.51,8.141,2.796,14,9.983,3.511,7.388,3.063,2.383,3.84E-02,2.362
28,21400,18,5.012,5.967,3.954,7.107,4.695,3.182,10.83,13.46,10.52,5.161,16.77,13.19,6.574,10.68,5.849,4.335,3.75E-02,2.398
29,21450,18,5.401,6.441,4.253,7.683,5.062,3.399,7.667,9.573,7.788,4.622,11.98,9.824,5.916,8.328,5.448,4.455,4.52E-03,2.35
30,21500,18,2.988,3.568,2.336,4.263,2.783,1.865,6.833,8.537,6.92,3.992,10.7,8.771,5.16,7.464,4.728,3.501,2.89E-02,2.468
31,21550,18,3.552,4.263,2.677,5.117,3.204,2.068,4.885,5.923,4.533,2.809,7.215,5.604,3.545,4.584,3.137,2.473,3.03E-02,2.514
32,21600,18,6.797,8.144,5.121,9.759,6.13,3.902,4.752,5.864,4.765,3.226,7.258,5.96,4.107,5.094,3.778,3.21,8.52E-03,2.293
33,21650,18,5.578,6.671,4.336,7.981,5.179,3.425,5.12,6.198,4.6,2.446,7.523,5.64,3.069,4.413,2.657,2.022,1.06E-03,2.366
34,21700,18,9.687,11.55,7.825,13.78,9.321,6.402,5.61,6.714,4.702,2.032,8.063,5.729,2.588,4.336,2.355,1.912,1.11E-03,2.364
