  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44
1,20050,44,5.50E-02,334.6,480.3,406.6,249.2,102.4,26.2,690,584.6,358.8,147.7,38.01,495.6,304.6,125.5,32.48,188,77.73,20.41,32.23,8.554,2.393,629.2,898.6,773.8,486.6,208.1,54.85,1283,1105,694.9,297.1,78.31,951.8,598.9,256.2,67.63,377.3,161.7,42.82,69.38,18.43,4.955,0.1389
2,20100,44,3.20E-02,249.3,356.9,302.6,183.9,75.61,18.21,511.2,433.8,264.1,108.8,26.44,368.3,224.5,92.65,22.65,137.6,56.96,14.22,23.67,5.99,1.651,564.5,806.5,690.9,429,181,45.99,1152,987.1,612.9,258.6,65.68,845.9,525.6,222,56.49,327.1,138.4,35.39,58.74,15.09,3.931,0.1395
3,20150,44,2.14E-02,310.9,445.5,378.3,231.4,95.33,23.22,638.6,542.5,332.1,137,33.49,461.1,282.4,116.6,28.58,173.4,71.69,17.74,29.71,7.395,1.918,923.2,1320,1130,702.2,295,75.55,1886,1615,1004,421.6,108,1384,860.1,361.5,92.64,535.1,225.1,57.81,94.84,24.41,6.34,0.1388
4,20200,44,3.45E-02,260.6,371,314.4,188.7,77.13,17.21,528.6,448.4,269.5,110.4,24.86,380.5,229.1,94,21.3,138.6,57.07,13.2,23.61,5.547,1.429,884.4,1264,1084,674.9,284.8,72.96,1807,1549,964.6,407,104.2,1328,827.6,349.4,89.61,516.5,218.4,56.28,92.58,23.97,6.311,0.1398
5,20250,44,6.93E-02,202.6,290.2,248,149.8,62.58,14.08,416.2,356,215.7,90.34,20.58,304.8,185,77.7,17.85,113.1,47.72,11.25,20.26,4.872,1.302,940.5,1344,1153,717.8,305.2,76.74,1920,1647,1026,436,109.6,1413,880.3,374.4,94.25,549.3,234,59.18,99.88,25.37,6.548,0.1399
6,20300,44,3.10E-02,317.5,448.8,378.4,224.4,90.18,18.79,635.1,536,318.6,128.4,27.12,452.7,269.6,108.9,23.18,161.4,65.5,14.35,26.75,6.006,1.557,1179,1684,1444,899,381.9,98.51,2404,2061,1284,545.3,140.6,1768,1101,467.9,120.8,686.6,292,75.59,124.3,32.28,8.466,0.1389
7,20350,44,4.49E-02,472.4,673.9,571.8,344.4,141.2,32.29,961.6,816.1,492,202,46.37,692.8,417.9,171.7,39.49,252.6,103.9,24.16,42.84,10.02,2.475,994.1,1420,1219,760,322,83.57,2028,1741,1085,459.8,119.3,1495,932.5,395.2,102.7,582.6,247.3,64.52,105.1,27.53,7.296,0.1383
8,20400,44,2.87E-02,330.1,471.6,401.8,242.3,100.2,22.77,674.3,574.8,347.2,143.8,32.92,490.3,296.5,123,28.27,180,74.89,17.5,31.28,7.395,1.892,640.3,914.3,785.4,493.1,210.6,56.05,1306,1121,704.1,300.7,80.02,963.5,605.3,258.7,68.93,380.9,163,43.62,69.91,18.77,5.101,0.1398
9,20450,44,1.64E-02,380.4,540,456.8,271.8,110.4,23.88,767.3,649.4,387.2,157.6,34.37,550.1,328.5,134,29.39,197,80.73,18.02,33.24,7.542,1.847,898.1,1283,1101,687.4,290.8,76.29,1833,1572,982,415.4,109,1349,842.8,356.7,93.64,527,223.3,58.77,94.7,25,6.66,0.1409
10,20500,44,4.06E-02,499.4,709.6,598.7,355.5,144.3,31.92,1009,851.5,506.3,205.8,45.79,719.1,428,174.2,38.86,255.6,104.3,23.6,42.71,9.752,2.398,1149,1643,1411,886.5,374.6,99.71,2349,2018,1267,535.5,142.5,1734,1089,460.3,122.6,684.9,289.6,77.32,122.6,32.79,8.839,0.1385
11,20550,44,9.53E-03,283.9,404.9,343.2,206.3,84.61,19.24,578.1,490.5,295.6,121.5,27.96,416.4,251.5,103.5,23.97,152.8,63.24,15.03,26.28,6.361,1.73,835,1194,1023,634.1,266.5,66.45,1707,1462,906.5,381,94.98,1253,777,326.7,81.54,482.5,203.1,50.87,85.59,21.51,5.486,0.1394
12,20600,44,5.48E-03,262,373.1,317.1,190,78.09,17,531.9,452.3,271.7,111.9,24.66,384.9,231.6,95.57,21.21,140.3,58.15,13.25,24.21,5.623,1.465,744.9,1065,917.3,578.3,245.7,64.69,1523,1312,827,351.4,92.51,1130,712.9,303.1,79.94,450.8,192,50.91,81.95,21.82,5.897,0.1405
13,20650,44,6.53E-04,291.6,418.4,359,220.8,92.39,21.24,600.9,516,318,133.3,30.9,443.4,273.8,114.9,26.78,169.9,71.58,16.99,30.24,7.273,1.873,863.2,1235,1061,667.7,281.3,74.67,1767,1519,955.4,402.4,106.8,1305,821.6,346.2,92.04,518,218.5,58.34,92.33,24.72,6.703,0.1385
14,20700,44,1.23E-03,309.8,441.4,376.8,227.3,93.9,19.99,629.4,537.5,324.9,134.4,28.9,459.3,278,115.1,24.87,169.1,70.27,15.49,29.31,6.557,1.612,860.6,1230,1057,664.3,281.4,74.88,1758,1511,949.5,402.2,107,1299,816.5,346,92.14,513.7,217.9,58.18,92.53,24.75,6.68,0.1386
15,20750,44,4.25E-04,354.8,506.9,432.1,261.3,108.3,23.78,724.7,618.1,374.4,155.4,34.43,527.4,319.8,132.8,29.56,194.8,81.15,18.41,33.9,7.794,1.963,890.1,1272,1093,685.3,290.3,77.26,1817,1561,979.3,414.9,110.4,1341,841.9,356.9,95.07,529.3,224.7,60.05,95.52,25.6,6.927,0.1397
16,20800,44,1.30E-03,232,331.7,282,170.2,70.52,15.66,474.7,403.9,244.4,101.4,22.76,344,208.6,86.69,19.56,127.3,53.15,12.28,22.28,5.226,1.348,855.2,1221,1050,659.8,280.4,75.45,1744,1500,942.3,400.5,107.8,1290,810.8,344.8,92.87,510.5,217.4,58.7,92.69,25.09,6.838,0.1404
17,20850,44,1.56E-03,214.6,308.3,264.6,162.2,68.26,15.48,443.8,381.3,234.4,98.98,22.74,328.1,202.3,85.62,19.86,125.7,53.53,12.77,22.92,5.587,1.508,781.6,1116,957.6,598.6,254.7,67.34,1593,1367,854.6,363.6,96.13,1173,734,312.4,82.69,459.7,195.9,52.02,83.55,22.24,5.985,0.1393
18,20900,44,3.13E-04,175,250.9,213.7,130.5,54.23,12.29,360.3,307.2,188.2,78.49,18.05,262.4,161.2,67.44,15.66,99.84,42.05,10.05,17.84,4.362,1.187,828.7,1184,1014,630.3,265.5,69.59,1690,1448,900.2,379.3,99.38,1240,771.4,325.1,85.28,480.4,202.7,53.32,85.61,22.57,6.013,0.1395
19,20950,44,1.63E-03,206.5,293.5,246.6,147.1,59.5,12.84,417.7,351.3,210.4,85.37,18.74,295.9,177.7,72.33,16.06,107.7,44.17,10.18,18.25,4.331,1.193,818.4,1170,1005,631.2,269.1,69.81,1672,1437,902.1,384.6,99.77,1235,775.8,330.8,85.92,487.8,208.2,54.22,89,23.23,6.123,0.1391
20,21000,44,1.26E-03,2475,3482,2903,1701,671.1,128,4901,4086,2396,946,181.2,3407,1999,789.7,151.7,1175,464.8,90.15,184.2,36.04,7.471,391.1,559.3,478.7,296.6,123.9,11.35,799.8,684.6,424.1,177.2,16.25,586.3,363.8,152.2,13.97,226.8,95.36,8.761,40.3,3.692,0.9134,0.1378
21,21050,44,1.40E-03,3506,4941,4112,2421,953.7,190.1,6965,5796,3414,1345,268.8,4824,2842,1121,224.2,1676,661.4,133,261.3,52.78,10.95,485.2,694.9,594.9,368.4,152.6,35.22,995.1,852,527.6,218.5,50.43,729.7,452.3,187.5,43.45,281.2,116.9,27.38,48.71,11.53,3.007,0.1381
22,21100,44,9.40E-04,1894,2680,2242,1329,531.7,109.1,3794,3175,1883,753.5,154.9,2657,1576,631.1,130,935.9,375.1,77.54,150.5,31.26,6.635,666.8,954.8,820.4,512.5,213.8,52.09,1367,1175,733.8,306.1,74.56,1010,631.1,263.4,64.32,395.3,165.3,40.62,69.3,17.13,4.414,0.1399
23,21150,44,2.86E-04,1827,2599,2189,1310,532.5,114.7,3698,3115,1866,758.6,163.7,2624,1573,639.9,138.3,943.2,384.2,83.34,156.7,34.13,7.551,728.3,1043,898,564.2,236.9,61.07,1493,1286,807.8,339.2,87.4,1107,696.1,292.5,75.47,438.2,184.5,47.81,77.87,20.3,5.416,0.1396
24,21200,44,3.64E-04,989.6,1409,1186,710.8,288.6,64.25,2006,1690,1013,411.6,91.93,1423,854.1,347.3,77.73,513.2,209,47.07,85.28,19.34,4.519,828.6,1185,1019,640.1,271.4,70.13,1695,1458,915.4,388.1,100.3,1254,787.9,334.2,86.4,495.5,210.4,54.51,89.45,23.24,6.135,0.1393
25,21250,44,1.13E-03,652.6,929,782.6,466.6,190,41.72,1323,1115,666,271.6,60.02,940.8,562.4,229.7,51,337.3,138.2,31.1,56.83,12.96,3.14,815.8,1167,1003,627.6,264.4,68.37,1670,1435,897.9,378.3,97.79,1234,772.3,325.5,84.28,484.2,204.4,53.08,86.36,22.5,5.935,0.1391
26,21300,44,2.17E-04,617.5,882,744,448.3,183.3,42.41,1260,1064,641.7,262.6,61.11,898,542.2,222.1,51.84,328.2,134.7,31.8,55.47,13.22,3.327,754.5,1079,926.2,580.5,245.1,64.61,1543,1324,830.2,350.5,92.37,1137,713,301.1,79.43,447.6,189.2,50.02,80.13,21.23,5.68,0.1395
27,21350,44,2.38E-04,599.9,854.5,719.6,431.3,175.1,39.81,1218,1026,615.6,250.2,57.19,864.5,519.2,211.2,48.45,312.7,127.5,29.6,52.14,12.23,3.036,1068,1527,1315,830.8,353.5,96.43,2184,1881,1188,505.5,137.9,1619,1024,435.6,119,647.7,276,75.57,117.7,32.33,8.961,0.1387
