  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
1,20050,18,137.2,168,101.4,28.63,206.1,124.8,35.61,75.72,21.81,6.57,4.734,5.324,2.68,6.023,3.125,1.867,4.74E-03,1.728
2,20100,18,130.2,159.2,95.85,27.25,195.5,118.1,34.15,71.64,21.01,6.597,4.059,4.584,2.357,5.212,2.772,1.717,0.1115,1.684
3,20150,18,122,150,91.32,25.54,185,113,32.1,69.29,19.92,6.095,4.585,5.14,2.54,5.779,2.904,1.587,2.98E-02,1.76
4,20200,18,91.34,114.3,70.48,21.58,144.1,89.43,28.06,55.87,17.88,6.2,12.2,13.67,6.747,15.33,7.594,3.838,0.4097,1.742
5,20250,18,133.9,167.3,102.9,31.67,210,129.7,40.46,80.42,25.39,8.361,11.68,13.03,6.285,14.56,7.066,3.549,1.02E-02,1.834
6,20300,18,101.3,126.3,77.43,23.73,158.5,97.74,30.54,60.66,19.27,6.52,7.331,8.189,3.97,9.156,4.463,2.238,9.85E-03,1.736
7,20350,18,108.6,135.2,82.69,25.39,169.1,103.8,32.32,64,20.16,6.678,7.11,7.845,3.546,8.671,3.958,1.913,4.04E-03,1.747
8,20400,18,65.93,81.46,49.93,14.12,101.6,62.91,18.39,39.33,11.84,3.954,9.454,10.33,4.392,11.31,4.868,2.261,0.7144,1.796
9,20450,18,109.1,133.5,80.75,22.58,163.9,99.44,28.15,60.5,17.31,5.212,18.98,21.1,9.961,23.47,11.12,5.367,2.63E-03,1.756
10,20500,18,84.94,105.1,64.22,18.63,130.5,80.14,23.62,49.42,14.77,4.661,30.87,34.31,16.18,38.14,18.03,8.611,6.74E-02,1.737
11,20550,18,56.75,68.55,40.92,10.84,83.46,50.21,13.75,30.44,8.591,2.737,40.96,45.61,21.73,50.8,24.23,11.62,4.42E-02,1.79
12,20600,18,60.95,74.25,44.78,12.16,90.78,54.94,15.15,33.37,9.327,2.777,27.39,30.56,14.71,34.09,16.43,7.99,2.89E-02,1.861
13,20650,18,60.86,75.35,46.2,13.28,93.54,57.5,16.71,35.43,10.39,3.187,19.54,21.9,10.83,24.56,12.17,6.102,5.95E-03,1.785
14,20700,18,41,51.48,31.87,9.823,64.85,40.28,12.53,25.11,7.87,2.555,25.13,28.39,14.62,32.09,16.56,8.657,6.59E-04,1.801
15,20750,18,35.87,44.04,26.51,7.825,54.43,33.03,9.926,20.23,6.181,2.005,18.27,20.62,10.56,23.28,11.96,6.254,0.1484,1.827
16,20800,18,54.96,67.72,40.99,12.12,83.82,51.03,15.23,31.31,9.431,2.938,11.59,13.12,6.8,14.85,7.737,4.13,3.27E-02,1.778
17,20850,18,51.68,63.98,39.19,11.33,79.44,48.85,14.2,30.21,8.818,2.633,10.23,11.42,5.514,12.77,6.219,3.178,5.46E-02,1.625
18,20900,18,59.58,73.75,44.91,13.4,91.6,56.04,16.79,34.52,10.38,3.18,12.19,13.61,6.591,15.21,7.391,3.66,3.54E-02,1.721
19,20950,18,117.7,146.4,89.83,26.96,182.4,112.1,33.71,69,20.77,6.327,9.845,11.01,5.361,12.32,6.047,3.088,8.61E-02,1.806
20,21000,18,62.12,76.73,46.44,14.07,94.98,57.65,17.54,35.12,10.71,3.344,16.78,18.61,8.683,20.66,9.678,4.639,3.31E-03,1.696
21,21050,18,91.48,113.5,68.49,21.81,141,85.28,27.21,51.76,16.55,5.338,12.28,13.81,6.942,15.55,7.877,4.15,3.56E-02,1.749
22,21100,18,90.78,112.3,67.64,21.33,139.1,83.9,26.5,50.7,16.04,5.102,16,18.06,9.251,20.4,10.49,5.516,9.98E-03,1.667
23,21150,18,88.97,111.7,68.72,21.84,140.4,86.53,27.54,53.47,17.04,5.447,17.59,19.62,9.435,21.9,10.58,5.226,2.09E-02,1.796
24,21200,18,158.6,199.9,123.9,39.11,252,156.3,49.35,97.02,30.64,9.694,11.72,13.11,6.401,14.68,7.229,3.718,6.41E-02,1.771
25,21250,18,89.45,112.9,70.23,22.14,142.7,88.84,28.05,55.4,17.5,5.554,11.89,13.32,6.551,14.95,7.431,3.905,2.62E-02,1.761
26,21300,18,191.7,243.2,151.7,49.01,308.7,192.6,62.29,120.2,38.91,12.63,11.99,13.3,6.209,14.8,7.022,3.636,0.2355,1.74
27,21350,18,247.5,311.7,192.6,61.58,392.9,243,77.74,150.4,48.17,15.45,13.31,14.77,6.914,16.43,7.794,3.969,2.24E-02,1.812
28,21400,18,350.2,440.3,271.1,86.86,553.7,341.1,109.4,210.3,67.46,21.67,10.34,11.6,5.776,13.05,6.577,3.524,8.95E-05,1.793
29,21450,18,176.4,222.1,137,43.98,279.9,172.8,55.52,106.9,34.37,11.07,13.98,15.69,7.808,17.64,8.84,4.604,4.99E-02,1.924
30,21500,18,175.2,220.9,136.3,44.19,278.7,172.1,55.86,106.4,34.58,11.25,13.98,15.58,7.473,17.38,8.373,4.126,9.19E-04,1.777
31,21550,18,198.2,247.1,149.7,48.59,308.3,187,60.73,113.6,36.93,12.02,11.9,13.16,6.02,14.56,6.68,3.119,0.1099,1.789
32,21600,18,166.3,208.3,127.3,41.25,261.1,159.6,51.77,97.68,31.7,10.3,14.3,15.89,7.481,17.66,8.331,3.969,1.92E-02,1.752
33,21650,18,275.5,346.4,212.7,69.03,435.6,267.6,86.89,164.5,53.44,17.37,15.33,16.91,7.618,18.65,8.417,3.829,1.02E-02,1.753
34,21700,18,264.5,332.2,203.8,66.05,417.4,256.1,83.07,157.3,51.05,16.58,11.47,12.65,5.703,13.96,6.309,2.894,2.02E-02,1.895
35,21750,18,190.7,240.4,148,48.4,303.2,186.9,61.16,115.3,37.77,12.39,14.32,15.86,7.329,17.57,8.132,3.796,0.1074,1.726
36,21800,18,137,171.9,105.2,34.34,215.9,132.2,43.21,81.08,26.52,8.689,18.24,20.18,9.255,22.33,10.25,4.742,8.37E-02,1.774
37,21850,18,62.03,78.55,48.57,16.1,99.68,61.8,20.54,38.45,12.82,4.294,8.12,8.888,3.823,9.732,4.197,1.84,3.49E-02,1.89
38,21900,18,72.47,91.7,56.85,18.51,116.3,72.32,23.64,45.14,14.81,4.9,10.24,11.21,4.81,12.27,5.273,2.29,8.26E-02,1.831
39,21950,18,83.57,105,64.5,20.81,132.3,81.51,26.42,50.43,16.42,5.395,14.53,15.97,7.046,17.55,7.754,3.448,5.30E-02,1.866
40,22000,18,59.59,72.73,43.15,13.09,89.25,53.35,16.35,32.2,9.989,3.163,15.35,16.89,7.529,18.6,8.294,3.712,2.84E-02,1.721
41,22050,18,52.41,65.32,39.55,12.86,81.82,49.84,16.37,30.58,10.15,3.442,13.76,15.14,6.712,16.65,7.388,3.291,3.85E-02,1.738
42,22100,18,63.11,80.71,50.4,17.12,103.8,65.2,22.34,41.25,14.26,5.004,5.015,5.524,2.471,6.085,2.726,1.231,2.32E-02,1.739
43,22150,18,68.83,88.18,55,19,113.4,71.07,24.67,44.79,15.63,5.494,5.484,6.095,2.887,6.776,3.217,1.545,2.88E-03,1.765
44,22200,18,49.64,64.52,40.97,14.37,84.39,53.97,19.08,34.8,12.4,4.472,12.19,13.48,6.21,14.92,6.877,3.187,1.23E-02,1.836
45,22250,18,105.8,138.9,89.61,31.28,183.2,118.7,41.63,77.28,27.25,9.67,10.01,11.07,5.106,12.26,5.659,2.635,0.1222,1.749
46,22300,18,77.3,100.9,64.51,22.56,132.5,85.32,30.04,55.39,19.64,7.02,9.271,10.26,4.733,11.35,5.243,2.436,2.64E-02,1.805
47,22350,18,49.66,62.38,38.16,12.55,78.79,48.53,16.08,30.15,10.08,3.414,7.837,8.689,4.058,9.635,4.502,2.112,7.99E-02,1.771
48,22400,18,38.5,47.34,28.04,9.108,58.53,34.93,11.44,21.06,6.965,2.347,4.795,5.281,2.368,5.818,2.614,1.187,4.52E-02,1.769
49,22450,18,45.26,57.09,35.1,11.61,72.41,44.8,14.97,27.92,9.426,3.269,3.874,4.251,1.859,4.667,2.045,0.9093,0.1689,1.849
50,22500,18,37.24,45.66,27.41,8.158,56.64,34.46,10.55,21.29,6.705,2.255,3.75,4.119,1.812,4.526,1.996,0.8974,4.03E-03,1.628
51,22550,18,29.6,35.12,20.28,5.465,42.26,24.8,7.007,14.83,4.398,1.485,2.974,3.213,1.259,3.474,1.37,0.5649,5.01E-02,1.75
52,22600,18,39.26,46.62,27.02,7.19,55.84,32.7,8.957,19.38,5.477,1.692,2.807,3.063,1.289,3.346,1.418,0.6292,0.1306,1.804
53,22650,18,35.32,40.83,22.79,5.596,47.65,26.94,6.871,15.47,4.12,1.246,4.05,4.27,1.362,4.509,1.461,0.5422,7.06E-04,1.87
54,22700,18,41.24,49.58,29.22,8.01,59.97,35.61,9.946,21.33,6.078,1.835,3.47,3.726,1.391,4.007,1.517,0.6358,0.1318,1.864
