  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
1,20050,38,1881,38.11,48.79,36.54,22.32,12.37,5.238,77.39,84.92,75.71,49.46,17.71,135.4,145.8,99.89,33.4,167.5,116.3,38.14,81.97,27.39,9.719,17.83,27.57,16.7,3.269,1.004,51.18,43.84,23.21,9.363,53.9,41.43,17,39.25,16.69,8.098,9.981
2,20100,38,2963,50.51,69.53,64.4,49.81,31.02,12.11,110.1,127,116.2,75.84,26.95,187.2,194.7,129.7,42.65,213,142.8,45.7,97.11,31.67,11.03,15.49,25.05,16.96,5.322,1.163,48.29,43.78,25.03,9.491,53.07,40.38,17.09,36.53,16.39,8.038,9.987
3,20150,38,3709,53.99,74.27,72.39,58.54,34.63,12.51,110.6,122,108.4,67.61,24.26,159.1,156.3,101.6,36.11,161.2,106.6,37.75,71.91,25.84,9.704,18.26,24.68,9.192,-4.149,-2.109,40.6,27.94,9.713,3.981,37.88,30.68,13.35,33.29,14.81,7.216,10.07
4,20200,38,2470,49.23,64.93,54.91,39.27,21.34,8.155,94.77,98.32,84.18,51.41,18.75,137,138.8,91.26,31.7,150.7,101.5,34.79,69.9,24.29,9.012,16.57,22.47,8.954,-3.508,-2.625,40.31,33.3,16.01,5.413,50.52,42.86,17.6,44.66,19.4,9.379,9.976
5,20250,38,3015,62.38,81.46,70.58,51.23,27.5,9.474,114.6,114.4,94.6,56.73,20.59,141.8,135.5,88.7,33.04,139.2,94.53,35.62,66.39,25.68,10.43,16.78,20.88,4.641,-7.534,-3.972,34.25,23.19,7.903,3.884,38.05,34.29,17.23,39.43,20.11,10.92,9.862
6,20300,38,2336,61.37,74.57,52.71,29.67,10.55,2.894,95.36,76.75,51.83,25.16,8.71,81.86,71.33,43.62,16.1,71.9,48.22,18.29,35.18,14.21,6.399,10.98,14.29,4.438,-3.605,-2.123,27.6,24.71,14.13,6.936,41.64,38.06,19.29,40.43,20.85,11.31,9.91
7,20350,38,6491,77.94,105.7,98.39,77.15,43.28,15.85,148.6,148.2,123.1,72.59,26.83,168.3,152.8,95.38,34.94,146.1,93.87,34.32,62.33,23.37,9.34,14.34,18.68,5.903,-4.58,-3.093,31.5,22.93,9.033,3.35,34.93,30,14.09,32.82,16.29,9.034,10.01
8,20400,38,4149,70.59,90.23,74.87,52.06,25.34,8.016,122,114.5,90.14,49.4,16.72,135.6,126.5,76.8,26.45,128.9,81.85,28.49,54.16,19.74,7.917,9.101,10.13,-0.328,-6.522,-3.168,24.11,26.96,19.46,9.936,58.32,57.13,28.58,60.3,30.23,15.69,9.995
9,20450,38,2792,101.6,123.1,90.79,53.31,21.36,4.805,158,134.1,94.75,48.17,14.37,150.3,134.6,82.02,27.46,137.3,90.18,31.52,62.4,23.02,9.424,9.632,11.56,1.603,-5.08,-2.921,21.55,18.29,9.979,4.246,35.29,33.43,15.72,36.34,17.69,9.353,10.07
10,20500,38,2440,108,128.3,92.63,52.52,19.1,4.24,161.9,134.4,92.55,45.9,14.3,146.8,129,78.99,27.26,130.3,87.11,31.26,62.3,23.67,9.829,11.55,16.34,6.819,-0.8374,-0.6693,32.42,29.19,18.34,8.45,45.21,40.58,19.23,41.1,19.75,9.895,9.944
11,20550,38,4373,91.45,111.7,86.16,53.86,23.28,5.839,153.2,149.7,120.8,70.97,24.13,203,202.3,136.9,50.03,220.3,156.5,58.56,115.2,44.51,18.1,12.74,18.21,8.136,-0.4221,-1.258,36.2,32.75,20.79,8.811,49.15,44.15,21.08,45.01,22.33,11.46,9.881
12,20600,38,4425,75.81,90.33,64.02,35.56,13.03,3.865,120.2,109.1,82.95,46.73,16.78,142.9,140.2,94.44,34.9,153.4,109.5,40.92,81.12,31.04,12.48,13.69,17.51,4.296,-4.855,-3.037,30.63,22.36,11.04,5.195,36.03,33.81,17.49,37.87,20.07,10.99,10.08
13,20650,38,4321,152.3,195.3,164.2,115.3,58.6,18.8,262.1,241,185.4,103.3,34.56,258.8,225.7,138.1,47.39,213.3,137.2,47.81,91.69,32.55,12.05,16.3,20.91,5.995,-5.6,-4.608,34.83,24.24,9.634,2.426,36.61,32.77,15.38,37.34,19.1,10.35,10.07
14,20700,38,4023,191.6,245.5,204.7,142.3,73.5,24.74,324.9,287.2,212.6,117.6,40.37,280.4,227.4,136.2,47.29,197.9,124.9,43.8,82.41,29.39,10.9,7.461,12.89,9.822,4.326,1.342,33.78,41.75,31.66,13.5,66.38,57.69,25.61,53.25,24.19,11.44,10.03
15,20750,38,5115,180.9,240,209.9,153.7,86.16,29.63,333,313.9,247.2,147.4,51.6,332.1,287,181.5,63.87,264.2,173.2,61.32,116.8,42.16,16.15,8.711,11.92,4.716,-1.516,-1.414,23.32,21.3,12.66,5.151,34.19,30.36,13.81,31.2,15.02,8.197,9.99
16,20800,38,5020,194.2,245,200,135.6,66.52,21.65,331.5,308.1,240,135,46.42,347.7,315.2,197.2,69.51,312.3,205.7,73.5,140.2,50.97,19.32,8.274,11.5,4.394,-1.135,-0.3365,23.84,23.07,14.94,6.9,39.1,35.08,15.55,34.92,15.48,7.35,9.941
17,20850,38,2157,115.2,129.7,75.32,25.51,0.9453,-2.126,169.2,144.8,103.7,55.96,19.41,209.2,217.3,145.5,54.46,257.5,181.8,69.56,131.8,51.48,21.53,8.43,11.74,4.957,-0.8387,-1.783,21.41,17.76,9.483,2.365,26.38,22.35,9.093,22.51,10.29,5.603,10.02
18,20900,38,3162,107.3,119.2,63.14,14.27,-5.298,-4.894,150.6,116.7,74.11,36.65,11.6,160.2,163,107.9,40.64,196.4,138.6,54.01,100.9,40.01,16.73,10.4,11.92,0.4658,-6.442,-4.38,18.02,9.536,1.764,-0.3679,18.76,18.62,9.186,23.22,12.38,7.426,9.927
19,20950,38,2728,62.04,76.39,57.72,36,14.97,5.281,115.4,124.3,111,66.89,26.41,192.4,208.2,138.2,54.28,241.2,164.8,65.07,115.7,46.47,19.9,11.07,11.49,-2.618,-9.328,-5.27,22.63,19.94,12.95,4.646,48.74,50.17,22.49,55.77,25.78,12.54,9.89
20,21000,38,5355,55.48,68.44,55.5,37.72,15.71,4.725,100.5,112,101.3,57.44,19.38,178.5,193.3,121.8,41.08,222.8,144.6,49.3,96.53,33.41,13.04,9.043,10.35,0.3968,-5.363,-4.728,18.55,14.78,8.006,0.8874,30.79,30.01,12.99,33.06,16.02,9.008,9.942
21,21050,38,3379,56.29,67.24,50.38,31.36,9.82,3.032,89.06,82.17,64.81,31.78,11.37,105.3,103.8,62.29,22.49,113.1,72.55,26.59,49.82,18.66,7.943,11.09,13.44,1.708,-5.076,-4.384,23.59,17.79,9.309,1.28,34.21,32.49,13.37,35.07,15.91,8.046,9.962
22,21100,38,2604,53.01,60.01,30.77,7.602,-3.846,0.1219,75.51,53.1,31.26,12.57,7.171,68.9,69.02,43.12,17.29,83.19,56.51,21.62,41.3,16.1,7.254,7.783,12.01,6.881,1.942,-1.108,25.22,24.97,17.16,4.346,36.99,32.13,11.83,30.49,12.48,6.093,9.969
23,21150,38,5597,57,53.03,-2.444,-37.14,-34.5,-9.823,60.05,22.12,-4.53,-9.15,0.6793,63.02,80.47,58.48,23.11,123.4,93.53,34.53,73.33,27.42,11.33,6.441,9.368,4.485,0.4623,-1.656,19.54,19.06,13,3.811,29.88,26.51,11.66,25.74,12.68,7.971,9.884
24,21200,38,4911,44.75,47.18,14.67,-7.692,-13.72,-3.218,57.36,35.36,16.98,3.841,4.42,64.26,73.72,48.2,19.82,99.36,69.58,27.04,51.56,20.16,8.585,10.52,16.14,9.382,2.509,-2.163,32.23,30.31,19.37,4.454,42.51,35.42,14.31,32.93,15.49,9.559,9.914
25,21250,38,1337,31.26,30.58,6.369,-10.8,-12.91,-5.591,37.68,27.72,16.48,7.089,2.306,66.94,81.43,55.7,20.33,110.5,78.36,29.05,57.87,21.97,9.003,11.71,17.69,9.946,2.099,-2.502,31.6,25.44,13.34,1.384,30.79,23.49,8.618,21.56,10.15,6.738,10.08
26,21300,38,2602,47.75,45.24,5.871,-21.16,-23.76,-10.24,49.69,25.09,4.605,-4.578,-2.658,62.33,76.02,52.17,19.06,110,80.49,30.33,61.63,23.63,9.677,8.481,13.08,7.884,2.156,-1.93,26.36,25.45,16.26,3.307,36.14,29.79,11.14,27.57,12.48,7.928,10.02
27,21350,38,3633,63.54,63.86,14.61,-20.79,-22.97,-9.583,72.06,37.04,7.038,-2.222,-1.756,72.74,82.59,57.82,19.63,117,86.68,30.52,66.24,23.88,9.612,9.349,12.13,4.084,-2.509,-4.35,21.84,18.37,9.519,0.2572,30.18,26.37,10.21,27.5,13.46,8.789,10.07
28,21400,38,5634,64.2,68.74,29.4,-1.681,-11.41,-5.461,80.48,50.75,22.53,5.355,1.045,74.91,77.51,48.94,16.19,99.97,69.02,23.8,50.32,18.07,7.622,11.41,13.46,1.234,-6.15,-4.708,26.98,24.67,15.99,6.284,48.78,47.91,23.92,51.95,27.2,15.23,9.989
29,21450,38,4046,50.75,56.78,30.1,7.661,-3.319,-1.806,70.38,53.94,34.1,14.66,4.579,83.09,87.38,55.81,18.25,106.5,72.62,24.14,51.78,17.63,6.625,9.06,10.64,0.9683,-4.998,-3.844,22.79,22.66,15.84,5.827,45.24,44.88,20.96,48.56,23.85,12.61,10.17
30,21500,38,1862,69.03,84.47,61.48,36.43,15.35,6.552,113.6,105,82.26,45.66,18.17,146.9,149.8,95.49,35.4,168.9,112.1,40.98,76.44,28.11,10.93,9.459,8.203,-5.297,-11.42,-6.373,17.93,18.14,12.89,5.223,50.87,54.34,25.9,61.88,30.27,15.6,10.02
31,21550,38,2693,151.5,185.1,132.6,75.36,32.65,11.31,242.6,206.3,148.1,80.45,30.93,239.8,223.2,140.5,55.98,237.6,158.2,64.07,108.7,44.61,18.91,12.37,9.362,-9.613,-17.61,-10.59,14.81,9.075,2.826,-7.72E-02,42.26,47.92,24.76,58.9,31.54,17.98,9.902
32,21600,38,2170,110.3,144.7,121.3,85.78,46.59,17.95,204.6,198.1,161.7,97.31,39.24,239.8,229.4,148.8,61.04,238.2,159.7,66.25,109.5,45.83,19.85,20.24,18.79,-8.609,-21.77,-12.8,22.67,2.839,-9.356,-5.926,26.23,31.75,17.57,45.99,26.02,15.53,10.05
