  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28
1,20050,28,1.16E-04,5.53E-03,22.01,26.18,22.32,8.227,2.826,31.64,26.43,10.04,3.204,22.67,8.298,2.899,3.219,0.9741,0.4164,4.473,5.8,3.732,1.525,7.856,4.856,2.222,3.123,1.297,0.7156,0.2412
2,20100,28,9.02E-05,7.17E-03,37.07,44.35,37.58,14.04,4.726,53.66,44.84,17.13,5.453,38.13,14.18,4.827,5.508,1.679,0.6722,3.476,4.781,2.911,1.373,6.94,4.009,2.136,2.447,1.166,0.7266,0.2404
3,20150,28,1.75E-05,5.84E-03,39.13,48.04,39.42,15.48,4.572,59.63,48.24,19.33,5.412,39.75,15.52,4.652,6.295,1.707,0.6028,3.564,4.494,2.971,1.111,6.033,3.739,1.627,2.484,0.9309,0.4999,0.2424
4,20200,28,2.10E-04,4.91E-03,31.91,39.89,32,13,3.403,50.45,39.85,16.51,4.092,32.15,12.97,3.458,5.42,1.312,0.4147,3.829,5.184,3.172,1.405,7.622,4.265,2.249,2.635,1.154,0.7253,0.2405
5,20250,28,3.09E-04,4.75E-03,21.55,26.14,21.74,8.323,2.591,32.63,26.11,10.51,2.888,22.02,8.285,2.688,3.409,0.8855,0.389,2.378,3.284,1.975,0.9236,5.065,2.683,1.557,1.646,0.7475,0.5142,0.2439
6,20300,28,1.32E-05,6.39E-03,11.95,15.26,11.95,5.087,1.24,20.96,14.9,7.216,1.166,12.06,4.914,1.344,2.523,0.3226,0.2519,1.341,1.847,1.117,0.5228,3.443,1.461,1.202,0.9376,0.3966,0.4655,0.2375
7,20350,28,5.71E-05,3.94E-03,9.213,12.75,8.92,4.354,0.7233,18.98,11.97,6.65,0.6006,8.742,4.051,0.8111,2.355,0.1581,0.1813,2.243,3.158,1.897,0.9568,5.715,2.569,2.032,1.614,0.7567,0.7819,0.2421
8,20400,28,4.50E-05,4.99E-03,13.16,17.45,13.07,6,1.33,24.2,17.06,8.485,1.488,13.05,5.833,1.393,3.006,0.4744,0.2116,1.445,2.161,1.218,0.6912,3.796,1.792,1.36,1.031,0.5682,0.5241,0.2408
9,20450,28,5.96E-04,6.98E-03,9.709,12.75,9.604,4.288,0.9536,18.35,12.19,6.389,0.78,9.626,4.055,1.079,2.268,0.21,0.2449,1.766,2.593,1.472,0.78,4.191,2.134,1.36,1.232,0.6383,0.4696,0.2426
10,20500,28,5.34E-05,6.92E-03,8.42,10.89,8.364,3.63,0.8861,15.17,10.52,5.204,0.8192,8.4,3.482,0.9779,1.819,0.2404,0.2021,2.687,4.099,2.242,1.28,6.475,3.407,2.081,1.874,1.064,0.6881,0.243
11,20550,28,1.74E-05,6.83E-03,10.33,13.05,10.31,4.279,1.154,17.35,12.81,5.813,1.204,10.37,4.176,1.226,1.976,0.3653,0.2168,3.885,6.09,3.214,1.922,9.679,5.028,3.081,2.662,1.587,0.9905,0.2394
12,20600,28,3.44E-04,8.77E-03,7.378,9.753,7.281,3.292,0.735,13.62,9.427,4.687,0.7399,7.247,3.166,0.797,1.634,0.2316,0.1629,5.814,9.123,4.806,2.877,14.4,7.53,4.556,3.977,2.376,1.447,0.2446
13,20650,28,1.91E-04,5.35E-03,12.76,15.28,12.84,4.74,1.575,19.16,15.15,6.101,1.643,12.99,4.677,1.659,1.986,0.4843,0.2886,4.963,7.789,4.093,2.429,12.32,6.413,3.857,3.378,2,1.213,0.2437
14,20700,28,6.77E-05,7.26E-03,17.35,18.84,17.8,5.345,2.625,21.3,19.1,6.197,2.652,18.35,5.391,2.758,1.848,0.7273,0.4619,5.238,8.026,4.329,2.46,12.36,6.632,3.805,3.581,2.035,1.179,0.2434
15,20750,28,3.92E-06,4.84E-03,17.55,19.61,17.95,5.766,2.605,23.19,19.69,7.041,2.63,18.47,5.744,2.748,2.192,0.7328,0.4619,6.922,10.74,5.654,3.281,16.72,8.773,5.117,4.621,2.682,1.573,0.243
