,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44
1,20050,44,0.1113,1066,1502,1254,743.8,297.2,68.75,2118,1769,1050,420.1,97.4,1479,879.4,352.5,82.11,524.6,211.2,49.68,85.45,20.33,4.973,706.9,1006,853.9,520.4,213.2,51.59,1431,1215,741.3,304,73.7,1033,631.2,259.4,63.2,387.1,159.8,39.34,66.36,16.52,4.24,0.1385
2,20100,44,0.1294,1149,1626,1360,808.9,326.1,77.01,2301,1925,1146,462.8,109.6,1613,962.1,389.3,92.66,576.3,234.3,56.4,95.79,23.36,5.869,581.8,824.6,694.4,416.3,168,37.72,1169,984.9,591.1,238.8,53.84,831,500.2,202.9,46.14,302.9,123.8,28.71,51.11,12.11,3.047,0.1383
3,20150,44,9.25E-02,1209,1707,1426,848.8,341.7,81.08,2411,2015,1201,484,115.2,1687,1007,406.7,97.27,603.3,244.8,59.13,99.89,24.41,6.118,968.2,1377,1159,699.7,281.1,66.4,1958,1649,996.5,400.8,94.97,1390,841.5,339.3,80.88,511.8,207.4,50.15,84.65,20.76,5.332,0.1386
4,20200,44,0.2421,1243,1763,1481,891.8,364.7,89.52,2501,2102,1267,518.5,127.5,1768,1067,437.6,108,645.7,265.6,66.02,109.7,27.48,7.003,1191,1696,1439,880,360.9,87.72,2417,2051,1255,515.2,125.5,1742,1068,439.4,107.6,657.2,271.6,67.27,112.9,28.29,7.332,0.1394
5,20250,44,0.175,1158,1643,1389,849.8,352.1,89.66,2332,1972,1207,500.6,127.7,1669,1023,424.6,108.7,628.4,261.6,67.36,109.3,28.33,7.465,793.4,1127,952.5,576.1,233.6,54.97,1602,1354,819.4,332.5,78.38,1145,693.9,282.1,66.75,421.9,172.2,41.09,70.66,17.02,4.214,0.14
6,20300,44,0.1341,1164,1647,1383,834.5,340.9,84.49,2331,1958,1183,483.5,120.1,1645,995.1,407.5,101.6,603.4,247.9,62.27,102.3,25.92,6.701,807.5,1149,972.1,591.1,240.5,57.8,1636,1384,842.4,343,82.69,1172,714.9,291.8,70.73,437.6,179.5,44.09,74.05,18.43,4.794,0.139
7,20350,44,0.1123,1130,1594,1337,803.2,325.4,78.79,2251,1888,1136,461,112,1585,955.4,388.6,94.92,577.7,236,58.22,96.98,24.23,6.226,814.2,1157,977.4,591,240,55.91,1643,1389,840.4,341.5,79.77,1175,711.7,289.7,67.92,432.5,176.6,41.85,72.39,17.32,4.312,0.1384
8,20400,44,5.81E-02,1290,1818,1523,916.3,370.8,89.73,2562,2148,1293,523.6,126.9,1802,1085,440,106.9,654.9,266.1,64.91,108.4,26.59,6.606,978.1,1389,1177,712.3,290.3,67.92,1972,1672,1012,412.9,96.82,1418,859.8,351.1,82.66,522.7,214.1,50.91,87.99,21.12,5.258,0.1403
9,20450,44,5.35E-02,1152,1619,1351,808,324,77.03,2275,1900,1136,456,108.5,1587,950.1,381.6,91.01,569.7,229.3,54.9,92.48,22.26,5.418,2089,2973,2522,1537,628.8,150.9,4231,3589,2189,895.9,215.3,3046,1859,761.7,183.6,1137,466.7,113.3,192.1,46.94,11.76,0.1402
10,20500,44,4.03E-02,1754,2464,2051,1219,486.6,114.6,3462,2882,1714,684.5,161.4,2400,1429,571.1,135,852,341.3,80.99,137,32.68,7.879,1677,2392,2029,1244,510.2,125.6,3411,2894,1776,728.6,179.7,2456,1509,619.7,153.3,928.8,382.3,95.29,157.8,39.6,10.19,0.1397
