  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
1,20050,38,0.3346,44.76,56.63,46.51,18.11,1.26,75.35,65.13,29.06,3.838,65.79,38.73,10.95,30.95,12.35,6.414,165.5,109.6,-130.6,-269.4,-213.9,-75.43,77.18,-70.84,-159.5,-127,-43.77,161.3,285.9,222.8,82.87,533.1,416.5,153,327.1,119.7,44.72,10.21
2,20100,38,8.19E-02,43.73,56.25,45.55,17.12,0.5457,77.7,67.05,29.54,3.477,67.51,39.12,10.7,30.7,12.15,6.385,146.1,109.2,-79.87,-198.7,-154.4,-50.92,88.47,-35.26,-118.1,-92.49,-28.41,137,227.1,170.7,64.28,422.2,319.6,115.9,244,88.11,32.99,10.41
3,20150,38,0.1681,59.79,77.51,59.19,20.06,-2.639,105.4,88.52,38.22,2.584,95.76,61.93,19.49,55.64,25.03,14.09,158,121,-75.82,-202.6,-157.7,-55.29,97.84,-38.82,-131,-102.6,-35.38,111.8,194.2,146,53.83,386.5,293.1,106.6,223.9,81.08,30.44,10.3
4,20200,38,0.1517,73.12,92.65,69.75,21.23,-3.489,126,105,42.85,2.65,107.3,63.58,17.81,54.03,22.81,12.4,137.1,105.5,-67.86,-181.5,-139,-50.69,86.56,-33.1,-116.1,-88.86,-32.1,105.6,181.4,136.9,51.36,358.7,271,101.2,205.9,76.73,29.39,10.32
5,20250,38,9.89E-02,53.07,66.81,53.41,21.25,-2.18E-02,92.55,81.64,39.23,5.387,84.8,52.43,14.69,41.89,16.19,8.101,88.85,62.62,-64.6,-142.8,-109.4,-39.02,49.04,-27.57,-78.58,-60.6,-21.16,117.3,192.8,143.6,52.28,343.8,257.3,93.46,193.9,70.77,27.11,10.34
6,20300,38,0.1425,37.83,42.26,27.29,4.485,-4.791,53.3,40.03,12.69,-2.15,41.58,24.97,7.527,24.02,11.77,7.426,83.11,65.95,-32.5,-103.6,-81.62,-33.11,56.62,-10.15,-63.43,-50.67,-21.88,76.98,120.9,88.19,29.63,231.7,172.4,62.89,130.6,48.48,20.15,10.3
7,20350,38,0.1658,47.87,56.84,40.15,9.636,-3.872,73.73,58.67,21.14,-0.2861,60.71,35.97,10.91,32.57,15.13,8.932,156,120.6,-67.25,-201.1,-161.7,-64.01,98.23,-32.47,-131.7,-108.3,-44.02,114.8,194.3,141.6,48.84,395.6,298.6,108.9,228.6,85.12,34.13,10.36
8,20400,38,4.31E-02,49.18,54.97,36.95,8.011,-5.008,67.7,52.15,18.44,-1.427,51.8,29.53,7.994,25.59,11.57,7.22,127.2,98.13,-58.81,-170.8,-136.3,-51.2,80.77,-27.63,-111.2,-89.4,-34.61,95.53,161.5,122.5,40.75,331.1,255,89.87,198.6,71.01,27.72,10.25
9,20450,38,0.1792,58.21,72.05,57.32,21.8,4.05E-02,97.09,84.31,38.64,4.992,87.18,52.24,15.47,40.75,16.84,9.233,133.3,93.44,-91.23,-214.8,-171.8,-68.44,70.9,-44.85,-128,-103.3,-42.32,136.6,238,183,67.71,460,357.2,136.1,279.7,107.3,42.7,10.35
10,20500,38,6.97E-02,43.42,48.63,38.61,15.43,0.6318,59.66,51,23.24,3.12,54.74,34.57,11.82,28.94,13.28,7.771,85.84,54.25,-78.6,-162.4,-129.6,-52.06,38,-36.59,-87.06,-70.12,-28.7,123.3,212.2,164,62.9,387.3,301.1,117.5,236,92.73,38.18,10.42
11,20550,38,0.11,31.12,36.45,28.1,9.865,-0.4489,49.28,40.05,15.17,0.2475,41.14,23.37,7.452,19.25,9.436,6.234,61.13,42.38,-45.23,-104.1,-81.93,-33.87,33.35,-16.39,-53.64,-43.22,-18.75,94.72,154.7,115.2,42.9,276.9,208.7,80.68,159,62.26,26.73,10.35
12,20600,38,0.3191,41.1,49.08,41.23,17.89,2.189,64.07,54.97,24.63,3.011,51.71,26.99,6.402,17.36,6.05,3.471,73.84,55.64,-37.59,-104.5,-82.56,-39.38,47.7,-8.525,-54.75,-43.33,-23.22,93.01,145.2,111,42.52,264,202.5,83.81,157.4,65.9,29.93,10.21
13,20650,38,0.2394,46.12,52.4,44.13,18.55,2.972,66,56.54,24.07,3.568,52.02,24.69,6.143,13.85,4.783,3.003,118.8,86.76,-67.72,-175.3,-139.9,-64.85,67.37,-34.62,-109.6,-88.37,-42.8,99.88,179.4,136.3,55.45,363.8,279.9,120.3,217.3,94.01,42.9,10.38
14,20700,38,6.66E-02,46.97,53.24,43.44,17.48,1.751,67.47,56.27,22.96,2.199,51.23,23.69,5.566,13.1,4.693,3.481,96.97,71.28,-48.19,-130.8,-108.4,-46.68,54.69,-25.51,-83.14,-70.65,-31.54,70.98,129,96.79,36.92,265,205,82.58,160.9,65.2,28.24,10.28
15,20750,38,7.59E-02,34,42.41,37.61,17.92,3.357,60.87,55.55,26.71,5.113,54.76,29.24,8.074,18.53,6.284,3.432,172.9,131.4,-69.31,-211.9,-178.4,-75.16,102.1,-45.41,-153.5,-129.7,-56.13,57.64,121.4,96.86,35.63,308.6,251,100.7,206.4,83.17,35.81,10.34
16,20800,38,0.2291,58.48,74.21,66.63,31.83,6.475,101.3,91.83,43.42,8.749,87.44,44.38,11.51,25.68,8.042,3.947,129.9,109.1,-13.3,-115.1,-102.5,-48.44,95.47,1.822,-82.03,-74.79,-38.04,50.14,69.64,53.02,15.02,173.7,142.7,56.91,119.3,48.85,23.44,10.34
17,20850,38,3.08E-02,58.13,71.53,62.99,26.94,5.847,93.83,81.98,34.32,6.197,75.86,35.43,9.239,20.71,7.019,4.007,107.9,85.97,-27.14,-114.3,-100,-43.41,74.32,0.6863,-63.43,-59.5,-27.9,95.76,140.4,104.9,36.4,263.3,207.2,79.52,165.7,65.15,28.37,10.3
18,20900,38,6.68E-02,35.28,46.72,43.68,21.81,5.38,68.19,63.81,31.85,6.981,64.64,36.7,10.75,25.65,9.004,4.482,113.8,86.96,-45.24,-143.1,-120.8,-51.78,72.29,-11.53,-80.7,-71.9,-32.85,111.6,174.8,131.1,47.5,330.4,257.6,100.8,203,80.68,34.96,10.42
19,20950,38,0.1454,51.24,65.47,62.86,34.85,8.987,89.9,87.88,49.51,12.83,88.77,52.13,14.82,34.07,9.792,3.79,119.1,86.42,-72.26,-182.6,-147,-56.94,70.33,-20.61,-92.34,-78.66,-33.07,179.5,283.8,208.6,69.76,502.5,378.6,133.5,287.3,102.4,38.33,10.31
20,21000,38,0.2484,52.88,65.4,56.65,23.69,4.426,87.89,80.5,36.93,8.76,79.18,40.43,12.24,24.76,8.622,4.238,216.8,172.4,-73.98,-268.9,-223.1,-97.65,141.4,-40.75,-191.4,-161.9,-73.5,103.6,190,142.7,50.14,458.4,361.4,143.9,287.7,117,51.07,10.33
21,21050,38,5.82E-02,37.75,43.59,36.36,15.69,1.946,57.84,53.04,26.3,5.625,54.8,31.31,9.984,21.85,7.972,4.46,161.8,123.4,-74.62,-222,-181.4,-76.28,98.28,-38.35,-144.3,-121.3,-51.95,121.6,221.2,163.4,64.19,468.8,359.2,146.5,278.1,114.4,49.17,10.4
22,21100,38,3.46E-02,51.15,69,64.5,33.09,7.602,101.6,98.86,52.42,13.61,102.1,57.9,18.04,36.49,12.47,5.823,173.3,138,-59.19,-205.8,-168.4,-64.6,113.6,-30.1,-140.6,-118.5,-45.78,103.4,184.5,132.8,48.57,401.9,303.8,113.9,232.7,88.11,34.76,10.27
23,21150,38,4.35E-02,57.47,79.32,79.05,42.85,13.01,120.1,125.4,71.77,23.27,137.8,84.26,29.57,57.04,20.89,8.646,150,118,-56.29,-184.4,-150.6,-58.65,95.01,-33.87,-130.8,-109.1,-42.57,74.09,142.5,103.7,39.4,329.4,251.4,97.46,194.3,75.94,31.22,10.47
