  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
1,20050,18,206.8,2.98E+06,3.84E+06,2.54E+06,8.65E+05,4.98E+06,3.29E+06,1.13E+06,2.18E+06,7.51E+05,2.67E+05,1.44E+05,1.82E+05,1.06E+05,2.51E+05,1.41E+05,8.05E+04,3.38E+04
2,20100,18,339.5,3.39E+06,4.32E+06,2.82E+06,9.51E+05,5.52E+06,3.61E+06,1.23E+06,2.36E+06,8.06E+05,2.84E+05,1.36E+05,1.66E+05,9.82E+04,2.20E+05,1.26E+05,7.30E+04,3.39E+04
3,20150,18,382.5,3.42E+06,4.39E+06,2.88E+06,9.85E+05,5.67E+06,3.72E+06,1.28E+06,2.45E+06,8.46E+05,2.99E+05,1.79E+05,2.32E+05,1.34E+05,3.13E+05,1.78E+05,1.01E+05,3.36E+04
4,20200,18,764.8,2.54E+06,3.23E+06,2.10E+06,7.12E+05,4.13E+06,2.69E+06,9.23E+05,1.76E+06,6.04E+05,2.15E+05,1.55E+05,1.91E+05,1.12E+05,2.54E+05,1.45E+05,8.38E+04,3.38E+04
5,20250,18,2703,3.94E+06,5.01E+06,3.26E+06,1.10E+06,6.39E+06,4.17E+06,1.42E+06,2.72E+06,9.27E+05,3.25E+05,1.72E+05,2.04E+05,1.22E+05,2.58E+05,1.50E+05,8.83E+04,3.37E+04
6,20300,18,195.7,2.89E+06,3.62E+06,2.34E+06,7.56E+05,4.55E+06,2.95E+06,9.70E+05,1.92E+06,6.33E+05,2.19E+05,2.03E+05,2.53E+05,1.48E+05,3.29E+05,1.89E+05,1.10E+05,3.36E+04
7,20350,18,460.9,3.75E+06,4.76E+06,3.09E+06,1.05E+06,6.07E+06,3.95E+06,1.35E+06,2.57E+06,8.82E+05,3.11E+05,2.11E+05,2.58E+05,1.52E+05,3.30E+05,1.91E+05,1.12E+05,3.37E+04
8,20400,18,103.7,3.11E+06,3.94E+06,2.54E+06,8.75E+05,5.03E+06,3.25E+06,1.13E+06,2.11E+06,7.32E+05,2.60E+05,1.72E+05,2.06E+05,1.23E+05,2.69E+05,1.55E+05,9.02E+04,3.36E+04
9,20450,18,246.4,3.20E+06,4.03E+06,2.61E+06,8.70E+05,5.11E+06,3.31E+06,1.11E+06,2.15E+06,7.26E+05,2.50E+05,2.01E+05,2.45E+05,1.45E+05,3.22E+05,1.85E+05,1.07E+05,3.35E+04
10,20500,18,677.7,4.83E+06,6.15E+06,3.95E+06,1.39E+06,7.85E+06,5.05E+06,1.78E+06,3.25E+06,1.15E+06,4.12E+05,1.75E+05,2.12E+05,1.26E+05,2.73E+05,1.58E+05,9.22E+04,3.38E+04
