,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44
1,20050,44,9.512,136.7,187.1,159.2,127.6,58.33,25.31,259.3,221.5,181.6,81.96,38.18,191,158,71.8,33.59,136.7,60.67,31.43,27.86,13.25,8.663,1.05E+04,1.51E+04,1.31E+04,8362,3617,976.6,2.19E+04,1.89E+04,1.21E+04,5235,1417,1.64E+04,1.05E+04,4542,1230,6722,2914,796.8,1265,348,99.14,2.752
2,20100,44,14.08,101.8,138.7,122.3,95.22,46.23,18.94,191.5,168.5,133.9,63.8,28.43,149.4,118.3,57.14,24.77,98.1,45.48,22.28,22.34,9.498,6.341,8094,1.17E+04,1.02E+04,6541,2818,781.8,1.70E+04,1.48E+04,9503,4095,1141,1.28E+04,8231,3549,989.3,5326,2301,652.1,997.3,284.8,86.26,2.759
3,20150,44,9.647,148.2,204.3,180.5,143.5,69.46,29.76,283.9,250.8,201.7,96.96,43.3,223,179.7,86.99,38.46,148.7,70.77,33.2,34.72,15.24,8.443,1.53E+04,2.22E+04,1.92E+04,1.24E+04,5350,1502,3.22E+04,2.79E+04,1.80E+04,7770,2186,2.42E+04,1.56E+04,6735,1895,1.01E+04,4361,1237,1890,537.9,157.2,2.741
4,20200,44,11.06,135.5,183.7,164.1,127.6,61.84,24.8,251.8,224.6,177.6,85.19,36.49,201.8,159.5,77.24,32.43,129.7,61.67,28.3,30.38,12.74,7.537,1.42E+04,2.06E+04,1.78E+04,1.16E+04,5011,1429,2.99E+04,2.59E+04,1.68E+04,7288,2084,2.25E+04,1.46E+04,6319,1807,9466,4114,1188,1792,520.4,156.5,2.765
5,20250,44,22.88,142.5,188.9,172,126.3,65.87,21.74,253.2,230.4,172.1,89.04,31.67,211.7,158.3,83.09,28.78,122,63.05,24.18,33.94,11.83,6.229,1.40E+04,2.02E+04,1.76E+04,1.12E+04,4855,1269,2.92E+04,2.54E+04,1.62E+04,7013,1837,2.21E+04,1.41E+04,6101,1598,8968,3896,1029,1695,449.9,123.4,2.77
6,20300,44,21.34,186.3,240.8,213.2,150.4,75.75,21.8,315.1,278.2,200,99.84,31.86,248.9,178.6,91.04,27.7,132.4,66.37,23.28,35.12,10.8,6.17,2.26E+04,3.25E+04,2.82E+04,1.79E+04,7737,2001,4.69E+04,4.07E+04,2.58E+04,1.12E+04,2887,3.54E+04,2.24E+04,9691,2508,1.42E+04,6145,1596,2664,693.9,183.4,2.746
7,20350,44,13.07,183.1,241.5,211.8,149,76.2,25.35,321.2,281.4,201.1,101.9,36.25,250.3,179.7,92.74,31.91,133.6,67.76,25.91,36.18,12.22,6.513,1.83E+04,2.64E+04,2.29E+04,1.46E+04,6316,1680,3.82E+04,3.31E+04,2.11E+04,9130,2431,2.88E+04,1.83E+04,7928,2112,1.17E+04,5065,1355,2194,588.4,160.3,2.736
8,20400,44,8.833,123.7,162.6,144.8,101.8,52.18,17.52,216.8,192.7,138.4,70.49,26,175.8,126.9,66.41,23.43,95.08,49.23,19.5,26.91,9.611,5.499,1.14E+04,1.65E+04,1.43E+04,9194,4014,1098,2.39E+04,2.07E+04,1.33E+04,5809,1591,1.80E+04,1.16E+04,5046,1383,7423,3245,894.8,1421,393.1,111.2,2.767
9,20450,44,6.023,150.8,197.1,174.7,119.5,61.36,20.38,262.5,234.4,165.8,85.57,31.54,213.9,154.3,81.47,30.21,118,62.64,26.35,34.62,13.93,7.794,1.69E+04,2.44E+04,2.12E+04,1.36E+04,5879,1609,3.53E+04,3.07E+04,1.97E+04,8519,2336,2.66E+04,1.71E+04,7393,2028,1.10E+04,4759,1314,2065,571.9,162,2.783
10,20500,44,16.18,159,208.3,180.8,123.2,60.56,22.19,277.9,240.7,169.5,82.06,34.03,212.8,150.4,74.82,29.59,113.3,54.7,26,28.62,11.36,8.262,1.89E+04,2.74E+04,2.38E+04,1.54E+04,6635,1842,3.98E+04,3.46E+04,2.23E+04,9634,2678,3.00E+04,1.94E+04,8371,2328,1.25E+04,5421,1515,2346,658.3,188,2.737
11,20550,44,8.534,126.3,161.5,146.3,98.53,51.08,14.62,212.3,192.2,135.9,69.35,24.41,176.3,125.3,64.9,22.21,96.85,48.89,21.53,25.82,9.96,7.437,1.50E+04,2.17E+04,1.89E+04,1.20E+04,5117,1327,3.14E+04,2.72E+04,1.73E+04,7397,1921,2.36E+04,1.50E+04,6422,1669,9545,4089,1069,1754,461.2,124.3,2.764
12,20600,44,15.48,130.2,169.7,156.5,110.1,57.46,18.64,225.7,208,151.2,78.24,28.65,194.2,141.9,74.23,26.69,109.7,56.41,23.74,30.04,11.63,7.035,1.18E+04,1.71E+04,1.49E+04,9688,4252,1215,2.48E+04,2.16E+04,1.41E+04,6179,1769,1.88E+04,1.23E+04,5385,1543,8002,3523,1018,1555,452.9,135.5,2.783
13,20650,44,7.733,144.3,186.6,171.3,119.9,61.92,19.06,246.1,226.2,163.9,83.97,29.34,210.7,154.3,79.45,27.77,120.6,61.07,25.3,31.67,12.29,7.319,1.48E+04,2.14E+04,1.86E+04,1.20E+04,5203,1458,3.10E+04,2.69E+04,1.74E+04,7552,2119,2.34E+04,1.51E+04,6558,1843,9758,4251,1204,1856,529,154.7,2.738
14,20700,44,17.38,157.7,202,182.6,123.1,63.88,18.47,264.3,238.1,166.1,85.79,28.53,216.9,151.4,79.08,25.34,112.9,57.83,22.46,31.15,11.02,6.66,1.71E+04,2.47E+04,2.14E+04,1.37E+04,5932,1624,3.58E+04,3.10E+04,1.99E+04,8593,2357,2.69E+04,1.72E+04,7450,2045,1.11E+04,4787,1323,2075,575.9,163.5,2.732
15,20750,44,8.947,118.9,160.5,142.6,102.9,54.47,20.11,224.5,197.2,149.6,77.75,34.27,176,131.9,69.8,28.7,106.6,54.3,27.61,29.44,13,9.994,1.61E+04,2.32E+04,2.01E+04,1.28E+04,5482,1457,3.36E+04,2.90E+04,1.84E+04,7923,2109,2.51E+04,1.60E+04,6861,1828,1.02E+04,4369,1171,1882,506.2,139.1,2.763
16,20800,44,32.58,122.4,166.7,144.1,106.5,54.47,21.1,232.6,200.1,153.4,77.75,33.76,174,132.8,68.08,28.57,107.4,53.81,26.34,28.29,12.55,8.316,1.50E+04,2.18E+04,1.89E+04,1.22E+04,5260,1475,3.16E+04,2.74E+04,1.77E+04,7634,2145,2.37E+04,1.53E+04,6618,1860,9880,4279,1209,1855,525.6,152,2.787
