,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
1,20050,38,3250,1.47E+04,2.02E+04,1.60E+04,8404,2545,2.78E+04,2.21E+04,1.16E+04,3529,1.77E+04,9298,2862,4917,1533,504.1,453,909.8,1284,1445,1024,458.2,1919,2660,2983,2081,949.3,3715,4161,2917,1317,4713,3320,1516,2358,1076,503.8,123.7
2,20100,38,2527,1.75E+04,2.44E+04,1.92E+04,1.00E+04,2853,3.41E+04,2.69E+04,1.41E+04,4007,2.12E+04,1.11E+04,3204,5851,1700,514.9,317.2,670.1,934.1,1048,727.3,318.9,1543,2088,2313,1553,702.6,2857,3171,2149,957.2,3572,2447,1105,1709,771.4,364.4,126.4
3,20150,38,5017,2.07E+04,2.85E+04,2.21E+04,1.14E+04,3060,3.92E+04,3.05E+04,1.57E+04,4249,2.38E+04,1.23E+04,3377,6363,1777,528.5,262.5,560.7,779.8,871,600,259.3,1283,1743,1929,1298,579.7,2389,2643,1790,786.7,2990,2042,913,1417,635,300.5,125.2
4,20200,38,2965,1.78E+04,2.46E+04,1.95E+04,1.02E+04,2972,3.42E+04,2.71E+04,1.42E+04,4186,2.15E+04,1.13E+04,3377,6005,1813,572.9,175.4,378.8,524,572.4,391.3,177.1,906.6,1210,1322,871.2,413.6,1638,1778,1184,548.9,2020,1358,649.9,932.3,447.5,230.1,125.3
5,20250,38,1943,1.31E+04,1.79E+04,1.41E+04,7305,2068,2.46E+04,1.94E+04,1.01E+04,2863,1.53E+04,7996,2315,4189,1234,391.6,149.6,334,458.8,485,322.1,145.5,819.6,1093,1140,717.8,330.3,1473,1534,978.7,443.7,1676,1097,516.1,749.9,360.1,185,125.3
6,20300,38,3663,7482,1.02E+04,8116,4228,1240,1.40E+04,1.12E+04,5836,1733,8958,4722,1442,2509,787.2,271.6,87.68,189,261.7,272.7,188.4,84.33,477.8,629.7,647.6,411.3,190.6,844.9,858.2,553.1,248.4,998.4,683.9,336.4,505.1,257.6,143.8,125
7,20350,38,2568,1.37E+04,1.88E+04,1.55E+04,8289,2704,2.60E+04,2.14E+04,1.15E+04,3758,1.77E+04,9528,3163,5154,1731,605,259.2,593.4,804.6,841.8,560.7,248.5,1426,1906,1985,1288,573.8,2559,2661,1736,769.9,2849,1884,849.9,1274,581.5,275.3,125.6
8,20400,38,1690,9247,1.28E+04,1.08E+04,5893,2065,1.78E+04,1.50E+04,8211,2891,1.27E+04,7005,2502,3873,1399,524.1,274.7,596.4,811.2,912.5,626.7,280,1388,1842,2087,1411,649,2467,2779,1886,855.5,3223,2203,1022,1521,710.3,345.7,124.2
9,20450,38,3121,1.16E+04,1.61E+04,1.34E+04,7227,2417,2.24E+04,1.86E+04,1.01E+04,3401,1.56E+04,8487,2899,4646,1609,580.3,297.9,613.2,847.4,972.6,694.8,328.9,1398,1862,2161,1512,744.1,2515,2896,2038,986.5,3423,2422,1194,1728,851.7,434.2,125.9
10,20500,38,3743,6742,9437,7879,4303,1479,1.33E+04,1.11E+04,6082,2105,9364,5161,1811,2859,1015,371.7,200.4,418,575.8,660.4,473.8,224.6,995.5,1315,1494,1036,512.7,1762,1998,1397,678,2319,1641,810.9,1177,582.7,301.8,126.5
11,20550,38,6106,3551,5015,4219,2326,820.1,7145,6038,3355,1202,5168,2898,1061,1640,612.6,239.7,173.3,412.1,546.8,622.7,429.2,214.7,1149,1459,1626,1072,554.4,1878,2091,1391,708.8,2413,1634,848.9,1128,587.6,317.1,125.5
12,20600,38,3757,3240,4395,3511,1833,570.6,6016,4838,2551,815.2,3946,2108,698.7,1143,393.5,149.7,186.5,413.8,559.6,615.1,440,213.9,1104,1414,1564,1056,549.6,1843,2016,1379,698.5,2329,1613,850.6,1145,599.9,332,123.6
13,20650,38,4269,4065,5419,4350,2256,708,7275,5864,3065,981.2,4779,2522,829.1,1346,456.1,167.9,266.7,566.5,770,886.7,646.5,314.5,1305,1730,1973,1402,692.9,2315,2626,1875,915,3128,2267,1151,1665,851.7,453.9,125.9
14,20700,38,2334,4839,6541,5387,2869,971.6,8914,7376,3958,1359,6163,3334,1166,1820,648.9,242.8,212.4,450.9,619.1,671.6,481.1,216.3,1102,1449,1545,1059,492.3,1934,2053,1421,646.5,2306,1632,782.9,1179,570.5,295.3,124.6
15,20750,38,2227,5501,7559,6390,3460,1163,1.05E+04,8860,4820,1631,7548,4125,1412,2266,785.5,284.3,207,452.8,610.7,695.5,494.2,224.3,1226,1538,1751,1186,568,1980,2230,1528,711.4,2646,1848,901.9,1314,646,337.4,125.5
16,20800,38,2858,8665,1.18E+04,9921,5353,1836,1.62E+04,1.36E+04,7385,2536,1.15E+04,6240,2152,3398,1178,418,164.7,336.3,463.9,517.4,378.1,167.1,844.2,1088,1195,825.5,383.8,1436,1562,1094,492.5,1847,1328,644.7,976.5,478.5,255.1,125.6
17,20850,38,2155,7445,1.01E+04,8455,4562,1613,1.37E+04,1.15E+04,6233,2210,9721,5279,1885,2878,1036,387.2,180.3,396.9,537.1,586.2,414.9,189.1,1024,1328,1387,922.1,425.4,1745,1826,1229,558.5,2050,1431,691.5,1029,505.4,267.9,125
18,20900,38,2289,7604,1.03E+04,8645,4654,1608,1.41E+04,1.18E+04,6369,2209,9921,5369,1876,2917,1031,384.2,217,488.7,656,732.5,511.8,238.1,1280,1643,1806,1205,586.8,2139,2345,1581,753.1,2677,1840,911.2,1290,641.9,341.9,126.4
19,20950,38,2991,1.19E+04,1.62E+04,1.34E+04,7172,2395,2.20E+04,1.83E+04,9784,3270,1.52E+04,8171,2739,4390,1483,526.2,365.9,866.1,1152,1225,826.4,350.1,2281,2931,3115,2042,901.1,3810,4031,2661,1152,4382,2924,1306,1975,884.3,418.6,124.9
20,21000,38,3891,1.15E+04,1.56E+04,1.30E+04,6965,2330,2.13E+04,1.78E+04,9581,3222,1.50E+04,8076,2737,4378,1498,530.3,446.9,1032,1364,1562,1089,501.9,2512,3259,3744,2587,1220,4260,4866,3368,1569,5699,3969,1894,2776,1329,659.2,125.4
21,21050,38,3146,7484,1.03E+04,8719,4750,1666,1.42E+04,1.21E+04,6622,2343,1.04E+04,5699,2038,3155,1144,432.3,279.3,568,783.2,905.9,661.7,307.3,1323,1743,2003,1404,669.4,2333,2674,1897,892.5,3161,2261,1097,1642,795.8,403.1,126.2
22,21100,38,2955,8561,1.18E+04,9968,5408,1840,1.62E+04,1.38E+04,7519,2571,1.18E+04,6452,2230,3548,1241,452.9,274.5,625.9,830.8,960.7,676.9,328.1,1579,2038,2308,1567,765.3,2651,3011,2064,1003,3510,2432,1203,1711,847.4,430.2,124.6
23,21150,38,2185,9119,1.28E+04,1.10E+04,6089,2135,1.80E+04,1.56E+04,8628,3031,1.35E+04,7528,2668,4210,1505,557.9,186.7,461.7,598.2,673.6,467.4,230.9,1264,1591,1778,1189,597,2021,2254,1521,757.5,2588,1761,898.7,1217,621.4,328.1,127.1
24,21200,38,2477,7996,1.12E+04,9656,5327,1834,1.58E+04,1.37E+04,7586,2623,1.19E+04,6615,2311,3701,1307,480,183.1,441.5,571.1,687.5,484.4,249.6,1189,1494,1755,1189,614.6,1893,2227,1522,783.4,2732,1889,993.5,1329,702.2,379.1,127.4
25,21250,38,1911,4008,5839,5080,2850,956,8667,7614,4323,1464,6743,3860,1328,2230,781,293.3,226.1,556.6,716.7,845.3,591.9,300.7,1531,1916,2203,1477,748.7,2417,2786,1888,955.1,3317,2276,1172,1591,821.9,430.3,126.4
26,21300,38,4119,3961,5658,4971,2784,959.7,8190,7236,4083,1411,6431,3651,1279,2086,740.3,278.9,134.3,365.1,458.4,518.1,351,174.1,1061,1310,1468,970.1,486.3,1626,1814,1204,598.8,2121,1423,734.2,967.4,501.1,269.6,126.1
27,21350,38,4931,3479,5155,4598,2614,867.7,7762,6968,3995,1333,6309,3648,1250,2127,746,289.9,87.98,233.9,292.8,341.4,236.7,117.5,739,888.1,993.7,646.2,322.1,1078,1213,799.3,396.3,1428,959.4,489.5,663.5,341.2,183.6,125.5
28,21400,38,3247,2670,3855,3446,1965,721.3,5663,5104,2942,1088,4636,2692,1011,1577,600.9,241,105.2,269.8,341,406.8,282,136.3,776.6,952.1,1104,741.3,364.6,1177,1369,925.7,451.3,1669,1141,573.7,790.3,398.9,212.5,126.2
29,21450,38,4188,5005,6983,6245,3539,1376,9832,8836,5035,1958,7985,4574,1795,2633,1042,427.9,136.7,305.5,404,469.6,346.7,172,863.6,1067,1221,838,439.5,1344,1539,1078,554.6,1827,1288,679,930.2,483.9,263.9,126.7
30,21500,38,2989,4301,5831,4979,2690,907.8,8006,6898,3766,1286,6012,3320,1165,1855,667.2,260.4,178.9,439.6,563.5,656.1,470.6,235.3,1232,1522,1748,1206,620.9,1901,2183,1521,775,2579,1811,939.8,1288,664.7,355.3,126.3
31,21550,38,2891,5436,7544,6463,3517,1142,1.06E+04,9139,5020,1653,7964,4414,1485,2470,848,309.1,231.3,593.3,752.9,871.7,605.8,290.8,1646,2046,2348,1590,778.6,2560,2928,1993,967.2,3462,2380,1179,1655,819.4,418.5,126.7
32,21600,38,3344,7566,1.05E+04,8931,4844,1561,1.46E+04,1.25E+04,6804,2206,1.07E+04,5871,1933,3232,1078,377,186.6,454.2,588.1,655.3,464.9,218.8,1196,1512,1676,1161,553.1,1929,2123,1478,698.9,2449,1722,833.6,1223,593.3,295.4,125.2
33,21650,38,2102,5878,8372,7326,4090,1403,1.20E+04,1.06E+04,5959,2058,9408,5326,1870,3036,1080,400.8,202.3,495.4,638.3,717.1,507.6,231.4,1313,1656,1836,1263,581,2102,2330,1613,738.8,2639,1844,851.7,1306,604.4,285.1,123.8
34,21700,38,4581,4615,6353,5466,2991,1033,8913,7755,4303,1504,6816,3821,1360,2167,783.9,296.5,213.8,491,645.3,730.6,532.8,252.9,1254,1602,1786,1247,596.5,2063,2302,1623,774.3,2612,1863,894.6,1358,653.2,322.4,125.8
35,21750,38,2577,3853,5447,4728,2617,879.2,7817,6836,3823,1297,6040,3407,1175,1939,679.8,252.5,155.2,329.5,442.1,503.3,381.1,177.2,777.5,1014,1122,818.6,388.8,1336,1480,1086,512.1,1690,1265,599.5,966,456.8,221.9,126.1
36,21800,38,1493,5913,8206,7016,3820,1249,1.16E+04,9961,5479,1803,8682,4824,1626,2707,930.2,343.1,107.9,246.9,328.6,359.3,254.5,116,644.5,829.2,885.4,601.2,293.4,1079,1147,782.3,372.2,1276,896.4,436.1,648.4,315.7,166.5,125.5
37,21850,38,2364,6455,9003,7664,4155,1304,1.27E+04,1.09E+04,5945,1875,9397,5176,1665,2873,939.4,328,122.8,298.4,395,390.2,268.6,113.9,804.9,1034,1023,683.2,312.4,1343,1313,876.9,389.2,1346,925.1,428.2,654.6,303.4,154.8,125.6
38,21900,38,3060,6261,8647,7344,3949,1210,1.21E+04,1.03E+04,5587,1718,8863,4832,1507,2654,839.8,284.5,69.89,152.1,204.8,214.3,160,69.45,407.7,521.3,529,364,178.5,678.9,678.3,469.4,219.4,753.4,552.8,275.7,429.5,212.1,119.4,125.8
39,21950,38,1925,7868,1.08E+04,9143,4924,1590,1.48E+04,1.26E+04,6843,2220,1.08E+04,5895,1927,3222,1063,361.2,109.3,226.2,309,333.2,251.9,111.5,521.9,690.3,729.3,534.8,249.1,928.4,959,697.9,310.9,1113,861.4,422.5,691.4,349.6,194,125.8
40,22000,38,4816,5605,7789,6773,3723,1251,1.10E+04,9605,5332,1818,8495,4756,1652,2688,951,353.3,119.7,262.1,354,365.5,268.2,113.7,629.2,825.9,850.2,607.5,271,1096,1118,801.5,347.6,1203,879.2,406.5,655.8,306.9,160.1,125.2
41,22050,38,1745,5509,7895,7080,3997,1384,1.14E+04,1.03E+04,5849,2029,9315,5310,1853,3040,1068,388.8,189.7,409,552.9,571,425,175.8,980.4,1279,1347,972.7,438.2,1692,1752,1272,551.1,1934,1421,664.1,1062,494.9,258.2,125
