,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44
1,20050,44,8.75E-02,49.53,75.35,64.78,44.66,20.59,7.19,114.9,98.76,68.06,31.33,10.99,85.09,58.88,27.23,9.618,41.5,19.38,7.173,9.169,3.422,1.462,1419,2047,1792,1132,486.7,120.8,2954,2585,1634,702.6,174.6,2263,1430,615.2,152.9,904.7,389.3,96.96,167.7,41.83,10.53,0.1606
2,20100,44,0.1078,34.89,52.75,46.04,32.4,15.57,5.357,79.98,69.73,48.89,23.37,8.035,60.97,42.99,20.71,7.17,30.99,15.15,5.491,7.58,2.77,1.135,873.6,1266,1106,703.2,302.6,77.56,1834,1603,1020,438.9,112.7,1401,891.3,383.9,98.62,567.7,244.7,63.11,105.6,27.32,7.179,0.1614
3,20150,44,7.87E-02,52.46,79.24,69.17,48.16,23.08,7.482,119.9,104.6,72.67,34.7,11.27,91.4,63.79,30.63,9.998,45.15,21.9,7.371,10.81,3.659,1.362,1560,2257,1971,1251,536.3,136,3267,2853,1812,776.6,197.3,2492,1583,678.8,172.5,1006,431.7,110,185.5,47.38,12.22,0.16
4,20200,44,9.31E-02,42.94,65.7,57.42,39.46,18.72,5.959,100.7,87.92,60.26,28.44,9.079,76.97,53.08,25.26,8.124,37.27,18.01,6.008,8.915,3.007,1.131,1390,2016,1764,1124,486.2,126,2925,2559,1631,706,183.4,2240,1428,618.3,160.7,911,394.8,103,171.4,44.89,11.94,0.1618
5,20250,44,0.1809,36.28,55.26,48.93,33.58,16.66,5.007,84.38,74.58,51.01,25.14,7.555,66.19,45.66,22.74,6.936,32.34,16.45,5.325,8.589,2.844,1.096,1365,1961,1716,1075,461.6,110.7,2817,2465,1545,663.8,159.6,2157,1352,581.2,139.8,847.9,364.8,88.06,157.2,38.09,9.388,0.1618
6,20300,44,0.1479,51.9,77.94,68.83,48.34,24.2,7.794,117.2,103.3,72.35,36.03,11.61,91.53,64.66,32.56,10.59,46.71,24,8.141,12.65,4.359,1.676,1787,2566,2238,1397,594.4,140.9,3684,3213,2005,853.8,202.6,2803,1750,745.2,177,1093,465.7,110.8,198.7,47.42,11.44,0.1606
7,20350,44,0.1161,56.03,83.83,74.24,51.78,26.16,7.957,125.5,111.1,77.4,39.03,11.9,98.66,69.28,35.21,10.86,49.64,25.59,8.262,13.4,4.4,1.635,1915,2757,2406,1509,644.4,156.6,3969,3463,2173,928.2,225.8,3023,1897,810.4,197.3,1191,509.2,124.2,217.9,53.3,13.16,0.1595
8,20400,44,6.18E-02,33.48,49.84,43.6,30.28,14.91,4.587,74.29,64.92,44.99,22.06,6.786,57.16,40.17,20.04,6.292,29.13,14.96,4.987,7.96,2.734,1.069,1377,1985,1734,1092,468.5,115.9,2863,2501,1575,676.1,167.5,2185,1376,590.9,146.5,866.8,372.5,92.56,160.2,39.94,10.08,0.1613
9,20450,44,3.45E-02,31.41,46.96,40.99,28.08,13.72,4.072,70.31,61.36,41.95,20.46,6.059,53.9,37.3,18.45,5.599,26.58,13.5,4.372,7.07,2.389,0.9223,1556,2244,1957,1230,525.8,130,3237,2823,1775,758.9,188,2462,1548,662.2,164.1,973.7,416.8,103.6,178.7,44.56,11.25,0.1629
10,20500,44,9.63E-02,38.08,57.21,49.35,33.37,15.86,4.886,86.11,74.24,50.19,23.74,7.371,64.3,43.88,21.02,6.635,30.75,15.04,5.063,7.61,2.613,1.064,1769,2552,2226,1400,598.9,148,3680,3211,2020,864.1,213.7,2802,1763,754.3,186.6,1110,475,117.7,203.6,50.58,12.67,0.1599
11,20550,44,4.52E-02,33,49.69,43.06,29.84,14.22,4.736,75.03,64.98,44.96,21.32,7.134,56.44,39.34,18.81,6.388,28.13,13.7,4.95,6.845,2.53,1.092,1212,1740,1515,940.4,399.2,94.97,2499,2175,1351,573.7,136.6,1894,1176,499.7,119.1,731,310.7,74.21,132.2,31.68,7.686,0.1614
12,20600,44,9.81E-02,37.87,57.35,50.62,35.16,17.36,5.454,87.02,76.76,53.25,26.21,8.239,67.91,47.43,23.5,7.503,33.84,17.02,5.72,8.724,3.005,1.169,1013,1463,1277,804.3,345.5,86.5,2113,1845,1162,499.4,125.2,1611,1015,436.5,109.6,640.5,275.7,69.45,118.9,30.06,7.7,0.1626
13,20650,44,4.05E-02,40.91,61.72,54.82,39.12,19.59,6.57,93.26,82.8,59.02,29.5,9.901,73.7,52.85,26.55,9.007,38.6,19.6,6.9,10.07,3.6,1.397,1470,2119,1845,1159,492.6,121.2,3056,2661,1672,711,175.2,2317,1457,619.9,152.9,916.6,390.6,96.7,166.8,41.49,10.47,0.1602
14,20700,44,9.63E-02,39.31,59.42,52.39,37.08,18.19,6.067,90,79.27,55.99,27.34,9.147,69.99,49.64,24.41,8.208,35.76,17.76,6.175,9.017,3.142,1.213,1713,2466,2139,1333,561.4,135.6,3549,3079,1919,808.6,195.5,2672,1666,702.1,169.9,1039,438.3,106.3,185.1,45.05,11.09,0.1599
15,20750,44,3.87E-02,40.75,62.2,54.45,37.61,18.24,6.108,95.19,83.22,57.34,27.63,9.268,72.96,50.55,24.57,8.315,35.71,17.62,6.226,8.949,3.202,1.281,1881,2704,2343,1454,609.9,145.3,3887,3369,2091,877.3,209.3,2920,1813,760.9,181.7,1126,473.1,113.2,199,47.8,11.62,0.1616
16,20800,44,0.1743,35.08,53.54,45.99,30.83,14.22,4.548,81.95,70.3,46.99,21.51,6.899,60.53,40.77,18.9,6.142,28.07,13.31,4.528,6.573,2.288,0.8894,1828,2633,2287,1424,603.6,147,3791,3294,2051,869.7,212,2863,1782,756.2,184.5,1111,471.6,115.4,200.5,49.2,12.21,0.1629
