  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
1,20050,38,9.86E-02,178.3,273.9,246,152.7,62.99,430.8,389.4,239.8,101.6,358.6,219.4,97.44,134.8,58.8,28.83,2826,4253,3900,2663,1335,455.8,6415,5872,4020,2009,691.6,5382,3678,1843,630.8,2523,1261,437.3,634.3,217.5,78.74,10.36
2,20100,38,4.72E-02,240.3,377,333.4,205.5,80.84,606.6,538.1,329.4,132.4,483.3,294.5,122.1,180.1,73.64,32.79,1812,2773,2505,1747,866.6,302.5,4266,3840,2695,1326,474.1,3466,2421,1198,421.8,1709,839.4,305.4,418.5,147.4,59.22,10.58
3,20150,38,0.2738,234.6,353.9,299.3,189.6,65.35,547.5,468.8,293.9,106.6,410.5,254.8,98.85,159.1,59.84,27.25,2012,3078,2782,1924,944.5,320.3,4733,4263,2969,1449,502.7,3848,2668,1307,446.8,1872,911.3,322.8,448.5,155,60.59,10.47
4,20200,38,0.1371,217.7,342.5,297.3,184.9,70.43,558.7,486.2,299.3,116.8,431.4,264,108.4,162.3,65.36,30.05,1626,2493,2256,1544,731.3,262.7,3841,3464,2388,1124,412.1,3132,2148,1016,367.3,1492,701.4,261.9,333.8,121.9,49.32,10.49
5,20250,38,3.99E-02,176.2,285,251.4,154.4,62.03,476.6,421.6,256.7,105.6,381.1,230.4,99.9,140,59.53,28.76,1536,2350,2129,1468,708,255.1,3609,3262,2263,1087,399.7,2954,2041,983.4,357,1432,689.3,260.6,335.4,125.5,52.7,10.49
6,20300,38,0.2333,86.05,133.5,120.6,73.99,30.38,223.4,205.2,122.7,54.08,198.6,116.3,57.05,69.04,32.29,18.75,1209,1844,1667,1110,523.8,165.1,2828,2547,1712,802.8,260.3,2301,1537,724.4,230.9,1052,497.2,170,240.1,82.27,33.95,10.48
7,20350,38,0.19,158,241.1,236.7,141.6,68.04,385,376.3,222.6,107.9,378.1,221.6,112.4,130.8,65.13,35.06,2324,3597,3225,2233,1055,379.7,5579,4995,3469,1634,593.9,4477,3104,1466,529.8,2169,1024,378.9,487.9,179.9,71.17,10.53
8,20400,38,9.35E-02,111.8,158.2,161.9,97.55,49.15,241.4,243.7,144.5,73.13,255.3,149.7,79.87,88.62,46.32,26.23,2028,3104,2804,1936,945.8,335.7,4767,4296,2981,1449,520.8,3878,2683,1309,466.7,1871,909.8,331.7,446.2,160.9,61.89,10.4
9,20450,38,0.1588,149.9,222.2,208.5,128.1,56.21,348.4,323.1,196.2,86.09,309.2,186.1,86.29,112.8,51.28,25.75,2196,3359,3033,2079,1011,353.4,5153,4644,3195,1548,547.6,4191,2876,1398,490.6,1989,963.8,345.6,471,167,63.05,10.54
10,20500,38,0.1322,104.4,147.3,145.9,89.38,42.93,226.8,214.7,130.7,60.12,215.3,129.5,64.29,78.52,38.27,20.66,1818,2782,2512,1715,827.6,287.4,4267,3847,2636,1268,446.1,3472,2374,1145,400,1639,789.2,284.1,383.3,137,53.7,10.6
11,20550,38,0.1386,62.31,89.8,88.46,53.97,25.9,149.5,140.7,84.12,39.51,142.7,83.7,43.55,49.84,25.13,14.68,1858,2864,2571,1752,826.8,286.2,4426,3967,2716,1278,449.4,3558,2430,1146,399.7,1680,791.8,287.1,375.9,135.6,55.03,10.53
12,20600,38,0.2144,62.38,88.55,77.63,49.45,18.2,146,125.4,77.51,29.7,114.9,69.39,29.9,42.77,17.54,9.192,1840,2832,2545,1747,836.6,294.7,4372,3922,2708,1292,463.2,3522,2424,1160,411.8,1693,808.2,299.1,389.3,143.1,58.84,10.35
13,20650,38,0.1235,73.77,104.1,95.05,58.27,21.54,169.5,150.8,90.16,34.31,141.3,82.83,34.18,49.5,19.67,9.322,2232,3443,3091,2116,1002,342,5318,4770,3276,1549,534.5,4281,2937,1391,478.1,2040,968.6,346,463.8,166.6,67.06,10.56
14,20700,38,3.36E-02,78.59,113,103.2,63.29,24.17,186.9,166.4,98.91,37.84,156.2,90.99,37.81,54.28,21.83,10.33,2392,3687,3315,2254,1055,349.9,5691,5111,3487,1629,546.9,4595,3131,1465,489.5,2160,1015,353.1,480.9,168.5,66.6,10.45
15,20750,38,8.63E-02,80.46,113.5,104.3,64.12,24.54,179.8,163.6,97.73,38.72,157.1,91.74,39.92,54.83,22.97,11.8,2317,3600,3230,2312,1120,420.7,5610,5022,3606,1740,660.7,4504,3230,1565,590.7,2338,1133,439,555.7,214.1,88.73,10.5
16,20800,38,0.1851,119,169.1,154.2,96.46,38.55,261.6,238.3,144.9,59.26,224.5,134.5,58.47,82.16,34.87,17.01,1513,2314,2094,1453,714.1,246.3,3556,3209,2248,1101,392.1,2902,2023,993.6,347.9,1450,712.4,269.4,353.6,132.7,60.39,10.5
17,20850,38,3.95E-02,92.58,140.7,134,80.73,36.15,236.9,222.4,129.9,57.38,216.1,125.3,59.1,73.97,34.71,18.78,1959,3018,2715,1896,922.6,329.4,4667,4189,2951,1435,524.7,3765,2641,1285,464.4,1901,929.4,358.9,457.3,177.5,80.17,10.46
18,20900,38,5.71E-02,83.57,132.8,130.7,76.08,35.83,226.1,221.6,126.7,60.64,225.6,127.6,65.43,73.2,37.1,21.78,3035,4681,4197,2854,1344,444.5,7238,6480,4429,2083,701,5806,3958,1863,620.9,2734,1287,447.8,608.6,211.1,83.3,10.59
19,20950,38,7.59E-02,118,184,181.5,106.8,51.13,307.4,301.2,173.9,83.66,301,172.8,85.72,100.6,49.98,27,3527,5418,4862,3258,1535,475.5,8336,7472,5019,2360,737.7,6703,4497,2118,658.6,3034,1427,453.3,675.7,213.4,72.7,10.48
20,21000,38,0.1543,98.3,150.2,149.8,87.2,40.84,255.7,250.7,141.7,65.76,253.9,141.9,68.78,81.1,39.13,20.69,3877,6002,5372,3687,1734,589.6,9298,8318,5718,2687,918.9,7444,5114,2405,820,3528,1659,574.2,782.4,270.2,98.22,10.51
21,21050,38,4.29E-02,64.57,93.88,96.59,56.83,28.21,163.4,162.6,92.92,47.25,170,95.54,51.12,55.01,29.1,17.18,3576,5472,4926,3304,1575,490.4,8383,7542,5069,2414,758.1,6788,4558,2172,679.2,3079,1468,469.1,702.1,223.7,77.08,10.58
22,21100,38,5.58E-02,100.2,158.4,161.1,90.88,42.9,276.7,269.6,151.2,69.31,275.4,153.4,75.32,86.22,42.29,23.79,3193,4945,4425,3063,1457,501.6,7666,6856,4753,2258,782,6133,4249,2020,697.9,2957,1405,492.3,670.2,233.7,85.57,10.44
23,21150,38,5.33E-02,118.3,182.4,186.7,106.9,52.01,306.2,304.5,172.8,83.04,314.9,177,89.41,100.5,50.37,27.67,2224,3453,3081,2094,964.4,317.5,5368,4786,3258,1498,496.5,4269,2904,1337,441.8,1985,914.1,307.4,423.5,141.9,50.69,10.65
24,21200,38,5.47E-02,114.7,176,175.2,103.2,49.89,295.7,286.6,167.2,80.58,286.5,166.2,83.48,97.29,48.8,26.9,2471,3813,3413,2315,1091,347.5,5891,5270,3583,1686,542.6,4716,3203,1509,483.1,2190,1031,339.1,488,159.8,57.58,10.68
25,21250,38,4.81E-02,99.3,149.4,136.1,83.9,34.54,255.8,229.9,138.5,59.86,211.6,126.7,56.87,76.84,34.25,17.5,2733,4197,3768,2530,1194,372.1,6455,5791,3897,1837,578,5197,3494,1649,516.1,2366,1117,359.3,530.8,170.5,60.02,10.6
26,21300,38,0.2304,97.58,142.4,131.9,80.19,31.96,226.1,209.9,125.1,52.81,199.6,117.7,52.02,70.28,30.49,15.28,2109,3285,2930,2037,955.5,334.1,5122,4566,3184,1491,526.4,4071,2836,1329,467.4,1993,934.8,337.6,441.2,159,61.97,10.57
27,21350,38,0.2083,113.8,174.5,158.5,96.86,39.39,282.5,257.1,154.9,64.95,241.7,143.8,64.56,86.5,37.95,19.56,1421,2196,1964,1345,640.4,213.5,3401,3038,2092,993,337.9,2716,1867,887.9,299.7,1306,621.8,222.2,299.3,106.5,44.59,10.51
28,21400,38,8.69E-02,75.16,119.7,112.2,67.03,29.52,208,194.4,114.4,52.83,184.8,107.9,51.15,63.72,29.92,15.4,1644,2543,2270,1547,730.3,242.6,3942,3515,2406,1133,382.4,3138,2144,1011,339,1484,699.2,244.3,331.7,115.1,45.26,10.59
29,21450,38,6.47E-02,169.5,252.1,248.1,149.1,71.12,388.9,383.9,228.4,111.4,383.5,226.8,112.8,135.1,66.6,34.56,2448,3744,3374,2259,1074,332.1,5744,5166,3476,1645,520.3,4652,3122,1482,462.9,2118,1002,326.4,478.5,152.2,56.82,10.61
30,21500,38,4.14E-02,113.2,172.1,161.3,97.68,42.28,274.5,258.5,154.6,69.39,249.1,147.5,69.24,88.26,40.87,21.38,3292,5061,4536,3041,1434,446.3,7792,6977,4689,2206,694.7,6252,4197,1978,619,2839,1339,430.4,636.7,203.3,71.45,10.59
31,21550,38,4.58E-02,137.8,216.1,194.8,117.5,45.93,356.9,325.3,193.1,79.66,301.3,177.5,76.44,105.5,44.69,21.8,3480,5423,4829,3375,1597,571.5,8462,7529,5271,2490,897.1,6704,4689,2218,796.3,3298,1561,569,744.5,269.9,102.9,10.62
32,21600,38,7.37E-02,166.1,249.6,216.9,136.5,50.82,389.1,342.8,212.4,83.15,308.9,188.9,78.05,116.8,46.92,21.81,2600,4006,3591,2444,1161,383.4,6183,5536,3776,1790,596.6,4961,3380,1605,532.1,2316,1099,371.3,524,176,63.13,10.48
33,21650,38,3.27E-02,132.5,212.8,192.2,116.8,48.66,358.5,329.3,196.3,86.32,311.9,182.4,84.79,108.4,48.83,24.91,2794,4311,3860,2625,1240,413.3,6664,5958,4064,1917,646.7,5333,3630,1715,574,2487,1174,402.2,556,188.9,70.2,10.38
34,21700,38,0.1096,88.51,142.5,133.3,79.06,34.33,247.3,233.6,136.1,62.96,225.6,129.7,62.23,75.58,35.59,18.68,2906,4479,4024,2764,1316,449,6919,6207,4277,2031,703,5575,3834,1824,626.4,2658,1262,446.3,603.3,210.9,82.4,10.54
35,21750,38,5.91E-02,89.14,146,134.6,80.05,34.17,255.6,237,139.1,62.8,227.1,130.4,61.29,76.45,35.27,18.24,2761,4203,3808,2578,1252,399.7,6407,5800,3932,1907,613.3,5254,3559,1729,554.1,2426,1180,386.8,577.4,189.3,67.38,10.57
36,21800,38,3.61E-02,102.1,162.6,142.2,86.46,31.77,274.4,242.4,145.2,57,225.8,131.3,56.76,78.18,32.43,16.98,2088,3201,2879,1950,934.7,299.2,4917,4417,3000,1435,465.1,3973,2694,1291,415.2,1842,883.4,293.2,426.7,141.5,52.71,10.52
37,21850,38,5.42E-02,139.2,202.8,178.9,109.1,36.23,313.9,278.2,167,58.8,254.6,150.3,56.83,90.11,33.03,15.07,2299,3529,3176,2144,1013,327.6,5428,4878,3303,1558,510.1,4388,2966,1401,455.6,2022,956.2,321,454.5,152.7,57.58,10.53
38,21900,38,0.1433,125.4,183.8,160.6,96.3,28.66,287.5,251.2,147.9,45.92,227,131.2,43.78,77.48,25.27,10.66,1445,2204,1996,1350,648.9,209,3372,3046,2071,993,326.3,2757,1868,897.7,291.3,1282,616.9,209.9,299.4,101.7,40.53,10.55
39,21950,38,6.39E-02,156.8,232.6,210.3,125.3,43.39,357.9,324.1,191.3,68.29,298.9,174.6,64.55,103.3,37.77,15.8,1803,2769,2488,1702,823.8,269.6,4264,3824,2628,1271,423.4,3434,2354,1139,375.5,1638,796.6,276.6,390.2,137.1,56.35,10.55
40,22000,38,0.1208,153.1,234.8,212.1,127.4,47.8,375.2,340.9,203.2,80.44,315.9,186.3,76.86,110.9,44.98,21.07,2071,3163,2855,1897,892.8,271.9,4841,4363,2912,1369,424.8,3937,2620,1233,378.1,1765,832.9,268.2,395,128,49.16,10.49
41,22050,38,2.83E-02,167,250.4,233.7,138.4,53.9,393.1,368.6,216.1,88.22,351.1,203.5,85.01,119.4,49.21,22.22,3157,4848,4353,2884,1335,403.4,7458,6687,4446,2056,631.8,6003,3981,1843,560.1,2665,1234,390.2,573.9,181.5,66.96,10.46
42,22100,38,0.5073,261.2,366.4,320,198.2,62.67,530.2,463.8,285.1,93.2,414.2,251.7,86,154.7,52.09,20.8,1048,1630,1452,1003,469.1,169.7,2546,2261,1569,731,269.7,2014,1394,651.9,238.2,982.4,462.4,179.1,222.1,86.55,39.92,10.48
43,22150,38,3.59E-02,157.2,219.6,189.3,119.4,38.25,320,273.8,171.9,56.48,242.3,149.1,51.37,93.64,32,13.2,1353,2096,1865,1245,569.4,188.7,3258,2893,1937,883.2,297.5,2573,1720,786.9,263.1,1165,534.9,188.1,248.9,87.9,36.86,10.71
