  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
1,20050,18,126.8,1.80E+05,1.81E+05,1.50E+05,5.88E+04,2.40E+05,1.82E+05,8.76E+04,1.42E+05,6.58E+04,4.13E+04,4822,6645,7369,1.10E+04,1.67E+04,3.44E+04,3.42E+04
2,20100,18,137.5,1.43E+05,1.71E+05,1.33E+05,5.77E+04,2.70E+05,1.94E+05,9.72E+04,1.42E+05,7.00E+04,4.32E+04,3249,3692,2178,6418,1.03E+04,2.90E+04,3.43E+04
3,20150,18,196.2,1.81E+05,2.23E+05,1.74E+05,8.38E+04,3.42E+05,2.51E+05,1.38E+05,1.87E+05,9.99E+04,6.14E+04,6550,8529,8181,1.22E+04,1.45E+04,2.38E+04,3.40E+04
4,20200,18,622.1,1.44E+05,1.68E+05,1.34E+05,6.47E+04,2.73E+05,1.97E+05,1.11E+05,1.46E+05,8.06E+04,5.33E+04,1.02E+04,1.24E+04,9755,1.62E+04,1.63E+04,2.54E+04,3.42E+04
5,20250,18,1395,2.14E+05,2.82E+05,2.14E+05,1.02E+05,4.40E+05,3.18E+05,1.66E+05,2.34E+05,1.20E+05,7.27E+04,5638,6407,3825,8730,9525,2.11E+04,3.41E+04
6,20300,18,99.26,2.03E+05,2.14E+05,1.73E+05,6.23E+04,2.87E+05,2.15E+05,9.47E+04,1.65E+05,7.01E+04,4.10E+04,5978,7846,7814,1.18E+04,1.56E+04,2.90E+04,3.39E+04
7,20350,18,167.6,2.26E+05,2.47E+05,1.97E+05,7.37E+04,3.40E+05,2.53E+05,1.16E+05,1.92E+05,8.53E+04,5.18E+04,9685,1.20E+04,1.03E+04,1.62E+04,1.70E+04,2.62E+04,3.41E+04
8,20400,18,74,1.40E+05,1.71E+05,1.32E+05,5.44E+04,2.67E+05,1.92E+05,9.33E+04,1.41E+05,6.69E+04,4.10E+04,1.29E+04,1.50E+04,1.02E+04,1.90E+04,1.74E+04,2.77E+04,3.39E+04
9,20450,18,216.4,1.76E+05,2.15E+05,1.66E+05,7.07E+04,3.34E+05,2.40E+05,1.12E+05,1.76E+05,8.13E+04,4.62E+04,1.40E+04,1.68E+04,1.28E+04,2.13E+04,1.95E+04,2.67E+04,3.38E+04
10,20500,18,366.1,1.43E+05,1.87E+05,1.41E+05,5.98E+04,3.29E+05,2.29E+05,1.18E+05,1.63E+05,8.19E+04,5.32E+04,1.72E+04,1.93E+04,1.11E+04,2.25E+04,1.51E+04,1.65E+04,3.41E+04
11,20550,18,123,1.22E+05,1.53E+05,1.17E+05,5.18E+04,3.01E+05,2.05E+05,1.11E+05,1.44E+05,7.63E+04,5.25E+04,1.45E+04,1.71E+04,1.21E+04,2.15E+04,1.90E+04,2.71E+04,3.43E+04
12,20600,18,240,1.52E+05,1.92E+05,1.49E+05,7.69E+04,3.32E+05,2.35E+05,1.35E+05,1.72E+05,9.83E+04,6.88E+04,2.13E+04,2.45E+04,1.56E+04,2.94E+04,2.26E+04,2.81E+04,3.42E+04
13,20650,18,247.6,1.71E+05,2.11E+05,1.64E+05,7.76E+04,3.29E+05,2.38E+05,1.22E+05,1.76E+05,8.92E+04,5.21E+04,3.65E+04,4.13E+04,2.44E+04,4.88E+04,3.49E+04,4.26E+04,3.40E+04
14,20700,18,260.6,1.44E+05,1.54E+05,1.26E+05,5.77E+04,2.23E+05,1.66E+05,8.82E+04,1.27E+05,6.61E+04,4.28E+04,4.19E+04,4.83E+04,3.14E+04,5.68E+04,3.99E+04,3.70E+04,3.39E+04
15,20750,18,46.82,9.17E+04,1.01E+05,8.21E+04,3.98E+04,1.67E+05,1.20E+05,6.66E+04,8.92E+04,4.88E+04,3.28E+04,4.91E+04,5.56E+04,3.27E+04,6.38E+04,4.03E+04,3.35E+04,3.36E+04
16,20800,18,409.4,1.26E+05,9.57E+04,8.88E+04,2.84E+04,1.36E+05,1.01E+05,4.87E+04,8.06E+04,3.64E+04,2.91E+04,7.38E+04,8.35E+04,4.88E+04,9.53E+04,5.84E+04,4.39E+04,3.38E+04
17,20850,18,415.3,1.06E+05,9.67E+04,8.35E+04,3.16E+04,1.90E+05,1.31E+05,7.76E+04,9.56E+04,5.35E+04,4.53E+04,1.07E+05,1.23E+05,7.67E+04,1.42E+05,9.20E+04,6.96E+04,3.41E+04
18,20900,18,110.9,9.06E+04,7.30E+04,6.41E+04,1.19E+04,1.30E+05,8.80E+04,3.44E+04,6.46E+04,2.39E+04,2.44E+04,1.25E+05,1.44E+05,9.23E+04,1.67E+05,1.10E+05,8.17E+04,3.41E+04
19,20950,18,103.7,1.35E+05,1.58E+05,1.20E+05,2.96E+04,2.70E+05,1.84E+05,6.63E+04,1.30E+05,4.55E+04,3.30E+04,1.25E+05,1.43E+05,8.70E+04,1.64E+05,1.03E+05,7.34E+04,3.39E+04
20,21000,18,254.7,1.55E+05,1.66E+05,1.33E+05,4.40E+04,2.43E+05,1.75E+05,7.04E+04,1.31E+05,5.19E+04,3.26E+04,6.57E+04,7.46E+04,4.42E+04,8.58E+04,5.42E+04,4.43E+04,3.37E+04
21,21050,18,136.2,1.81E+05,1.60E+05,1.40E+05,4.72E+04,2.01E+05,1.55E+05,7.22E+04,1.25E+05,5.50E+04,3.92E+04,4.56E+04,5.12E+04,2.96E+04,5.87E+04,3.71E+04,3.37E+04,3.40E+04
22,21100,18,359.2,1.03E+05,9.19E+04,7.93E+04,2.57E+04,1.42E+05,1.02E+05,4.83E+04,7.80E+04,3.54E+04,2.93E+04,5.18E+04,5.79E+04,3.16E+04,6.55E+04,3.86E+04,3.16E+04,3.38E+04
23,21150,18,391.3,7.62E+04,8.16E+04,6.58E+04,2.47E+04,1.54E+05,1.06E+05,5.70E+04,7.61E+04,3.94E+04,3.18E+04,3.39E+04,3.83E+04,2.25E+04,4.44E+04,3.00E+04,3.17E+04,3.39E+04
24,21200,18,60.5,6.58E+04,5.28E+04,4.86E+04,1.93E+04,1.37E+05,8.96E+04,5.96E+04,6.32E+04,3.95E+04,3.51E+04,4.67E+04,5.05E+04,2.29E+04,5.59E+04,2.96E+04,2.90E+04,3.43E+04
