  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23
1,20050,23,1.91E-04,9.16E-03,0.3209,1.687,0.3681,0.8368,21.41,1.865,10.61,0.4319,0.9446,5.303,0.4302,-1.248,0.3621,-0.6643,6.62,-0.6566,3.751,0.3566,-0.3197,2.14,0.2367
2,20100,23,3.19E-05,6.16E-03,0.4412,1.644,0.4922,0.7785,10.55,1.81,5.094,0.5581,0.875,2.5,0.313,-0.8659,0.2692,-0.4611,4.267,-0.4967,2.362,0.2643,-0.2528,1.314,0.2378
3,20150,23,4.76E-05,7.76E-03,0.3163,1.233,0.3696,0.6213,7.796,1.432,3.918,0.4375,0.733,1.994,0.2462,-0.7592,0.2014,-0.4065,3.245,-0.5016,1.79,0.1806,-0.2618,0.9933,0.2405
4,20200,23,1.29E-05,6.40E-03,0.2902,0.8488,0.3595,0.4693,7.369,1.056,3.862,0.4484,0.5905,2.041,0.2435,-0.7786,0.1961,-0.4363,3.925,-0.4379,2.279,0.1829,-0.235,1.331,0.243
5,20250,23,2.38E-04,7.48E-03,0.2833,1.193,0.3584,0.6591,10.24,1.476,5.351,0.4556,0.8211,2.813,0.3962,-1.096,0.342,-0.609,3.997,-0.8192,2.284,0.312,-0.447,1.311,0.2406
6,20300,23,1.81E-05,7.76E-03,0.2557,1.298,0.3172,0.6934,15.96,1.584,8.221,0.396,0.8527,4.25,0.2698,-0.9012,0.2124,-0.5038,4.216,-0.5495,2.406,0.1883,-0.3008,1.377,0.2391
7,20350,23,8.97E-04,4.07E-03,0.2466,0.9852,0.3074,0.5367,9.62,1.235,5.043,0.385,0.6765,2.654,0.2652,-1.111,0.1786,-0.623,7.082,-0.4257,4.036,0.1631,-0.2303,2.306,0.238
8,20400,23,3.84E-04,7.13E-03,0.3162,0.6755,0.3869,0.3747,4.141,0.825,2.166,0.4743,0.4597,1.139,0.171,-0.4937,0.145,-0.2797,4.132,-6.10E-02,2.474,0.1702,-1.72E-02,1.488,0.2415
9,20450,23,2.21E-05,7.06E-03,0.4996,0.527,0.5995,0.2933,3.539,0.637,1.833,0.7211,0.3579,0.9574,0.1521,-0.3318,0.1431,-0.177,2.208,-0.1146,1.248,0.1609,-5.19E-02,0.7122,0.2397
10,20500,23,3.39E-05,7.11E-03,0.4294,0.3319,0.5116,0.1827,2.494,0.4278,1.345,0.6133,0.2422,0.7399,0.1473,-0.3811,0.1308,-0.2065,2.304,-0.1631,1.281,0.1395,-8.41E-02,0.7187,0.2368
11,20550,23,2.75E-05,8.19E-03,0.4219,0.5536,0.4934,0.2755,2.896,0.6411,1.449,0.5862,0.3384,0.7661,0.1204,-0.2146,0.1199,-0.1186,1.144,-0.1123,0.6451,0.1328,-6.06E-02,0.3705,0.2423
12,20600,23,7.72E-04,8.01E-03,0.6439,1.277,0.7522,0.6385,6.322,1.531,3.269,0.8898,0.7887,1.739,0.1624,-0.1552,0.1795,-8.31E-02,1.704,3.49E-02,0.9823,0.2258,2.79E-02,0.5704,0.2447
13,20650,23,1.11E-03,8.97E-03,0.7518,0.7592,0.8667,0.3496,8.62,0.8963,4.381,1.012,0.4396,2.283,0.1877,-0.1881,0.2062,-9.14E-02,1.809,8.39E-03,1.028,0.255,2.37E-02,0.5929,0.2403
14,20700,23,2.28E-04,6.05E-03,1.093,1.105,1.314,0.6221,6.789,1.229,3.298,1.59,0.7189,1.647,0.3016,-0.4169,0.3161,-0.2115,3.165,-9.34E-02,1.768,0.3768,-2.61E-02,0.9999,0.2386
15,20750,23,3.17E-04,8.36E-03,0.9142,1.353,1.03,0.592,7.781,1.388,3.521,1.172,0.6249,1.636,0.245,-0.4868,0.2367,-0.2409,3.292,-0.1608,1.772,0.2698,-6.08E-02,0.9649,0.2373
16,20800,23,1.44E-04,1.05E-02,0.4555,1.666,0.5032,0.7771,11.15,1.767,5.254,0.563,0.8364,2.503,0.1212,-5.85E-02,0.1414,-2.13E-02,2.041,0.2,1.113,0.2009,0.1219,0.6128,0.2379
17,20850,23,1.04E-03,8.39E-03,0.1608,0.1573,0.1813,6.34E-02,5.196,0.1467,2.555,0.2107,6.95E-02,1.285,0.1295,-0.4245,0.1031,-0.2269,3.657,-3.61E-02,1.953,0.1225,-1.97E-02,1.048,0.2391
18,20900,23,1.96E-04,7.81E-03,0.1253,1.022,0.1345,0.4912,15.69,1.098,7.741,0.1517,0.5436,3.855,0.1377,-0.1881,0.1446,-9.75E-02,3.472,0.2296,1.885,0.2088,0.1303,1.027,0.2406
19,20950,23,4.32E-05,7.43E-03,0.133,0.7345,0.1493,0.3512,9.189,0.8571,4.518,0.173,0.4208,2.255,0.1571,-0.3072,0.153,-0.168,4.93,0.2754,2.734,0.2253,0.1555,1.52,0.2415
20,21000,23,8.65E-05,7.69E-03,0.1045,0.5814,0.1287,0.2976,11.36,0.8271,5.841,0.1635,0.4316,3.033,0.1782,-0.305,0.179,-0.1581,4.681,0.2456,2.561,0.2533,0.1451,1.404,0.2397
