  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44
1,20050,44,7.88,314.2,491,406.9,324.4,140.3,61.07,780.7,643.9,520.4,223.8,101.3,534.7,428.9,186.5,82.69,350,150.2,69.5,65.89,29.36,14.8,570.2,896.6,764,593.3,265.7,123.6,1423,1203,946.8,417.7,199.1,1027,796.3,356.8,165.4,631.9,276.5,133.5,124.2,57.53,28.62,2.049
2,20100,44,10.97,271.1,414.4,336.8,265,110.4,53.05,644.6,522.2,414.6,172.9,85.8,425.2,336.6,141.4,69.28,269,112.5,56.55,48,23.54,12.84,606,929.2,815.7,607.8,281.3,120.3,1447,1251,955,430.6,192.8,1101,818.3,379.6,161.4,633.4,281.6,129.2,131.1,55.58,27.1,2.06
3,20150,44,10.61,118,181.1,150.1,125.9,54.44,26.74,283.6,235,199.3,87.08,44.1,197.6,166.6,74.5,36.84,142.8,63.33,32.59,29.54,14.65,8.197,682.5,1063,931.6,704.6,321.4,140,1671,1454,1114,501.1,223.7,1275,965.4,439.8,192,745.2,332.7,150.4,152,66.19,30.79,2.083
4,20200,44,14.99,134.9,193.1,169.6,129.6,59.78,23.22,281.7,245.8,189.6,87.37,35.46,217.8,166.8,78.26,30.64,129.2,60.2,24.49,28.89,11.27,5.283,771.6,1216,1040,799,351.4,161.9,1932,1643,1275,554.3,260.8,1406,1081,475.3,219.4,843.8,365.2,173.3,161.1,74.1,36.02,2.084
5,20250,44,20.39,481.4,746.2,645.1,505.5,233.3,105.2,1164,1005,789.4,364.5,166.2,869.9,682.2,316.2,143.1,537.1,248.2,113.8,115.6,52.35,24.97,705.7,1128,967.7,747.3,330.2,154,1818,1549,1210,527.7,251.5,1330,1027,454.1,211.7,807.5,350.1,168.5,155.5,72.18,35.54,2.054
6,20300,44,10.67,320.5,471.5,413.8,310,147.7,56.12,698.8,612.1,460.4,218.9,85.04,539.8,404.5,194,74.06,304.8,145.1,56.9,70.36,26.68,11.54,442,708.3,605.1,469.5,205.8,96.97,1149,972.1,766.6,329.8,160,832.3,645.7,283.3,133.3,513.9,219.1,107.7,96.81,45.16,22.88,2.061
7,20350,44,8.894,600.7,923.5,818.6,630.5,294.3,129.2,1423,1262,972.3,454.2,200.1,1120,862.6,403.8,177.1,665.1,310.8,137.3,146,63.88,29.09,658.7,1026,891.1,667.4,304.5,135.5,1609,1391,1050,474.2,214.3,1210,905.6,413.6,183.7,687.9,308.9,140.6,142,62.65,28.98,2.056
8,20400,44,11.93,435.7,670.8,595.5,464.1,213.8,95.37,1035,919.7,717,330.8,148,819,637.6,295.3,131.7,497.2,229.7,103,106.9,47.6,21.82,495.8,793.2,677.4,523,235.9,111.7,1283,1086,850.6,377.1,183.2,929.2,716.3,323.7,153,566.3,248.8,122.5,113.3,53.14,26.77,2.072
9,20450,44,9.736,383.7,578.9,512,397.9,183.7,79.67,879.1,774.4,605.1,278.4,123.2,686.8,533.5,247.4,107.6,417.1,192.1,85.47,89.63,39.02,18.5,282.1,455.3,382.7,300.1,128,62.5,747.6,620.1,496.6,206.6,105.1,522.9,409,174.9,85.34,331.6,136.3,70.75,58.93,28.47,15.39,2.077
10,20500,44,17.63,511.2,774.9,695.6,535.6,248.8,106.2,1182,1057,818.3,378.8,164.3,951.4,732.2,341.8,145.9,567.1,262.8,114.4,123.4,52.54,23.9,346.7,571.5,468.9,378.9,154.4,80.38,957.2,776,640.7,255.5,137.9,639,515.6,210.9,109.6,431.7,170.1,93.73,70.28,36.35,20.74,2.058
