  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44
1,20050,44,3983,1499,2480,2218,2025,1118,471,4528,3752,3751,1932,1038,3346,3054,1698,762,3138,1583,891.6,874.6,416.4,330,1008,1639,1695,1517,868.2,404.2,2914,2810,2702,1425,748.9,2895,2589,1462,670.7,2515,1323,710.8,751,357,226.1,106.7
2,20100,44,5538,1294,2183,1954,1783,948,479.5,4042,3404,3312,1679,1025,3033,2762,1485,801.8,2735,1366,851.4,743.7,411.7,327.3,1496,2214,2514,2009,1262,456.2,3601,3762,3302,1895,827.8,4263,3405,2125,755.9,3039,1724,781.7,1069,399.6,243.8,107.3
3,20150,44,5193,1018,1779,1539,1492,834.6,456.9,3316,2762,2769,1517,914,2414,2290,1323,756.3,2327,1259,757.6,741.7,428.9,288.5,1450,2365,2458,2180,1249,557.9,4218,4086,3914,2069,1055,4217,3762,2125,950.5,3645,1916,998.9,1083,498.1,303.1,108.5
4,20200,44,7596,1327,2109,1922,1781,985.5,472,3542,3127,2956,1613,839.3,2849,2616,1462,734.4,2481,1354,692.7,771.1,386,224.5,1400,2295,2390,2084,1185,514.3,4116,3989,3752,1959,985.2,4123,3617,2028,877.6,3432,1787,913.5,1010,443.1,281.1,108.6
5,20250,44,1.02E+04,2786,4930,4311,4068,2166,1267,9001,7717,7398,3877,2376,6748,6344,3395,2027,6091,3189,1946,1722,1024,660.1,1446,2331,2458,2103,1211,513.9,4208,4051,3829,1983,1017,4217,3649,2061,882,3502,1800,951.2,1022,449.6,304.8,106.8
6,20300,44,5310,1534,2390,2313,1954,1151,515.7,3931,3656,3203,1830,907.5,3564,2967,1777,830.1,2622,1486,736.4,896.4,422.7,249.1,922.8,1449,1578,1303,772.1,312.1,2623,2554,2377,1230,647,2737,2290,1322,542.4,2168,1114,607.6,652.3,274.5,212.6,107.2
7,20350,44,4600,1955,3173,3091,2545,1533,748.5,5353,5064,4280,2535,1308,4945,4046,2463,1224,3431,2023,1045,1238,623.5,350,1982,2893,3334,2551,1609,594.1,4432,4921,3917,2354,964.1,5649,4329,2706,994.6,3479,2086,873.6,1313,490.6,265.4,107
8,20400,44,6028,951.3,1664,1498,1366,778.2,443.2,3111,2667,2538,1406,869.5,2423,2167,1265,736.5,2080,1140,702.6,670.2,393.6,260.2,1226,1777,2065,1549,982.1,339.5,2854,3060,2510,1439,624.4,3513,2657,1652,577.9,2234,1271,581.7,798.6,292.1,198.7,107.8
9,20450,44,4824,1362,2186,2075,1828,1073,558.9,3881,3368,3235,1786,1073,3240,2787,1678,890.3,2709,1478,887.3,879,482.4,323.2,858.9,1292,1460,1141,701,262.5,2231,2263,1989,1069,526.6,2512,1992,1191,455.4,1790,954.5,491.2,579.7,227.5,174.8,108.1
10,20500,44,8612,2013,2978,3060,2508,1560,723.5,4750,4537,4014,2378,1253,4706,3799,2403,1119,3406,1995,1063,1245,609.5,371.6,893.6,1503,1568,1334,735,361.6,3183,2810,2862,1274,890.1,2815,2488,1293,685.2,2597,1145,829.5,614.6,324.5,304.5,107
11,20550,44,6193,1233,1978,1850,1699,1002,547.2,3509,2969,3029,1663,1057,2840,2523,1543,833.6,2630,1416,914.8,852.3,485,348.7,945.8,1477,1644,1293,767.6,308.5,2742,2686,2420,1218,654,2909,2336,1329,554.8,2169,1086,612.1,636.1,274,213.7,108.7
12,20600,44,4569,1274,2241,1932,1916,1056,653.6,4207,3424,3606,1920,1310,2984,2903,1635,1011,3106,1632,1127,911.6,585.4,439.8,874.4,1532,1545,1364,724.7,360,3049,2781,2742,1291,799.7,2759,2471,1281,650.8,2483,1160,740.1,607.9,313.8,256.6,108.1
13,20650,44,5634,1048,1781,1590,1495,845,453.7,3334,2693,2824,1486,937,2463,2240,1305,699.5,2404,1242,798.7,711.3,404.3,299.4,995.3,1702,1813,1480,821.3,285.9,3282,3175,2877,1415,653.4,3335,2754,1494,533.8,2540,1242,592.7,685.7,245.8,182,106.9
14,20700,44,4361,917.6,1192,1400,975.5,703.8,213.9,1930,1858,1597,993.6,486.7,2201,1500,1112,367.1,1333,807.7,408.3,585.8,223.5,186.2,1027,1670,1824,1485,866.4,295.1,3067,3038,2742,1419,640.6,3286,2678,1529,518.4,2481,1279,607.9,741.8,267.2,206.4,107.3
15,20750,44,3075,1586,2112,2357,1745,1214,365.2,3116,3183,2579,1697,655.6,3561,2608,1845,574.2,2148,1392,546,982.7,336.2,190,1157,2008,2002,1869,1021,481.8,3754,3490,3534,1800,998.6,3492,3231,1760,810.4,3357,1695,976.3,914.2,450.6,339.4,107.1
16,20800,44,5116,1141,1482,1677,1227,910,246.6,2133,2214,1768,1234,438.5,2521,1815,1375,398.1,1473,1011,360.5,760.8,234.8,129.6,1673,2895,2946,2582,1395,631.4,5431,5152,4893,2443,1321,5214,4588,2455,1119,4436,2198,1220,1177,547.9,389.3,106.8
17,20850,44,6126,1627,2384,2466,1983,1257,521.2,3671,3643,3052,1868,857,3799,3007,1938,819.5,2547,1540,710.1,1006,422,226.1,1210,2184,2143,1947,1002,527.8,4258,3917,3803,1808,1116,3821,3481,1771,938.5,3417,1625,1013,840.4,441.5,342.4,106.7
18,20900,44,8832,2584,4342,3951,3653,1988,1138,7874,6728,6626,3363,2217,6096,5642,3076,1794,5586,2814,1866,1569,893.3,667.8,1848,3116,3243,2757,1520,689.1,5560,5545,4932,2575,1282,5732,4900,2669,1216,4385,2285,1149,1255,571.8,332,107.1
19,20950,44,6780,2362,3752,3627,3111,1853,891.6,6293,5789,5231,2950,1584,5602,4790,2870,1392,4354,2436,1318,1480,708.5,427.2,1144,2202,2043,1991,969.3,563.8,4526,3996,4099,1875,1205,3686,3600,1729,1007,3723,1701,1105,825,483.9,357.5,107.3
20,21000,44,4059,1120,1759,1746,1446,905.7,419.9,3171,2836,2598,1466,874.2,2776,2314,1437,706.6,2136,1195,715,753,362,274.5,589,1044,1029,941.6,496.5,243,2157,1899,1959,898.5,546.5,1850,1698,868.1,417.6,1793,816.5,515.6,422.9,214.6,183.6,107
21,21050,44,6637,1454,2537,2236,2113,1198,662.7,4879,4036,4037,2152,1403,3538,3324,1883,1094,3357,1777,1155,1008,580.6,439.8,905.4,1621,1573,1478,771.7,405.4,3102,2847,2850,1400,816.3,2774,2578,1337,681.8,2638,1287,772.8,664.7,357.7,262.1,107.3
22,21100,44,5059,1327,2444,2139,1985,1122,647.4,4819,3947,3936,2077,1345,3501,3184,1830,1053,3228,1678,1102,964.4,554,392.6,768.3,1276,1296,1145,627.5,343.6,2351,2195,2129,1058,674.2,2229,1954,1057,561.5,1944,957.5,630.8,518.2,289.5,242,107.9
23,21150,44,5559,1472,2698,2364,2188,1181,682.5,5123,4368,4156,2182,1345,3862,3514,1925,1117,3386,1756,1091,970.4,556.5,368.3,842.6,1354,1424,1220,697.7,331.3,2463,2358,2227,1135,643,2456,2103,1174,554.2,2031,1030,602.9,582.4,286.3,205,108
24,21200,44,5939,2439,4265,3985,3401,1979,1019,7878,7042,6289,3494,1988,6554,5601,3251,1700,5029,2779,1590,1626,842.7,529.2,622.6,838,1005,746.3,501,197.8,1487,1431,1346,694.6,412.3,1671,1256,803.9,319.4,1238,628.3,396.6,409,174.6,154.1,107.4
25,21250,44,4869,1334,2061,2117,1645,1001,407.5,3718,3391,2969,1589,902.6,3421,2689,1616,706.3,2382,1257,723,788.7,328.5,266.6,712.4,1029,1156,939.7,590.9,262.5,1723,1728,1582,870.1,464.7,1920,1558,953.3,418.2,1473,805.2,447.2,497.4,231,156.9,106.7
26,21300,44,2565,1688,2970,2776,2376,1325,730,5490,4947,4394,2329,1422,4605,3944,2189,1232,3525,1855,1140,1070,571.6,388.7,575.5,925.3,960.9,837.7,476.1,239.2,1840,1667,1644,767.7,480.2,1679,1475,783.4,403.6,1494,707.4,451.7,400.9,209,152.2,107.5
27,21350,44,5705,1897,3024,3067,2402,1490,646.8,5156,4997,4081,2416,1204,5024,3946,2431,1097,3241,1909,952.4,1201,528.7,312.4,998.6,1773,1739,1610,843.6,456.2,3409,3146,3099,1507,913.8,3100,2818,1457,760.2,2844,1379,868,718,401.9,305.8,107
28,21400,44,4264,2437,3845,3831,3118,1875,843.2,6305,6140,5086,2999,1446,6089,4952,2974,1366,4116,2420,1164,1467,668.1,350.6,1402,2533,2459,2306,1191,671.4,5034,4536,4598,2173,1401,4368,4106,2082,1182,4219,1987,1305,1017,588,430.6,109
29,21450,44,4016,2057,3510,3206,2885,1597,850.9,6257,5544,5125,2736,1576,5069,4524,2504,1354,4215,2240,1292,1264,666.7,413.4,1256,2180,2291,1908,1035,449.6,4035,4055,3528,1799,865.2,4236,3525,1881,813,3102,1582,779,857.8,379.6,226.3,106.8
30,21500,44,5560,1886,3105,2869,2570,1490,721,5298,4736,4387,2455,1269,4451,3876,2291,1096,3656,2017,1056,1195,568.1,315.3,766.2,1314,1364,1168,638.9,290.3,2444,2391,2178,1102,571.5,2487,2096,1128,489.6,1963,989.7,541.5,537.5,255.8,191.2,106.8
31,21550,44,3883,1520,2560,2402,2076,1169,587.6,4672,4102,3782,1993,1145,3858,3301,1862,955.3,3073,1609,925.8,914.8,464,297.9,776.3,1284,1358,1141,642.5,283.1,2307,2312,2037,1060,525.1,2437,2025,1113,477.1,1819,949.9,488.1,535.6,242,163.8,107.7
32,21600,44,5823,1183,2114,1932,1687,927.8,500,4015,3499,3195,1674,992,3210,2769,1536,839.2,2554,1326,787.4,748.9,401.5,254.4,1402,2039,2419,1764,1127,368.1,3168,3595,2730,1635,606.6,4236,3083,1935,625.1,2369,1421,544.1,909.7,301.2,165.1,107.6
