  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
1,20050,38,4130,9.896,8.162,8.665,5.265,4.284,7.488,7.951,4.071,3.74,8.743,4.577,4.53,3.118,2.694,3.15,395.7,638.5,617,487.4,272.1,111.8,1034,996.2,790.7,439.1,182.9,962.6,760.5,424.4,174.8,604.8,335.1,140.2,187.4,77.16,33.34,7.205
2,20100,38,2331,8.876,9.11,10.26,4.533,4.71,10.11,11.51,4.531,5.35,13.48,5.371,6.57,2.573,2.711,3.674,280.7,449.3,435.3,341.9,192.4,77.16,724.3,698.2,552.4,308.2,126.7,676.1,531.6,298.4,120.3,421.7,234.5,97.06,132.2,53.42,23.63,7.354
3,20150,38,5140,13.39,12.7,13.96,6.922,6.924,13.03,14.69,6.529,7.314,16.88,7.333,8.539,3.717,3.765,4.847,257.7,415.6,401.1,317.3,178.1,73.66,675.8,648.3,517.3,287.4,122.2,625.1,495.2,277.2,115.5,396.3,219.4,94.04,123.4,51.29,23.45,7.272
4,20200,38,2855,13.93,15.14,16.95,6.806,8.057,17.74,20.27,7.31,9.43,23.76,8.551,11.41,3.657,4.456,6.464,214,354.1,334.7,273.4,146.7,64.87,590.3,554.6,456.9,242.9,110.1,524.4,428.3,229.6,101.9,354,187.6,85.67,100.8,44.82,21.69,7.288
5,20250,38,2322,10.83,10.85,12.63,5.95,6.187,12.2,14.57,5.867,6.84,18.15,7.337,8.676,3.697,3.807,4.724,153.3,253.8,240.8,195,106.5,48.11,423.4,399.4,326.1,176.6,81.86,379.2,306.9,167.4,75.96,251.3,135.7,63.31,74.36,33.93,16.94,7.305
6,20300,38,4767,8.562,8.118,8.143,3.825,4.007,8.858,9.635,3.748,4.702,11.73,4.479,5.778,2.22,2.306,3.671,77.15,127.1,119.1,97.16,53.58,24.6,212.6,196.7,163.2,88.8,42.9,184.6,150.3,82.69,38.05,125.6,67.88,33.21,37.74,17.98,10.26,7.285
7,20350,38,2718,12.07,11.31,12.33,6.2,6.165,11.26,12.73,5.969,6.591,15.78,7.466,8.724,3.901,4.166,5.567,200.3,330.7,311.4,252.9,135.7,60.46,549.5,515.2,421,224.6,102.4,485,394.2,211.3,94.85,322.9,171.8,78.68,92.39,41.76,20.5,7.313
8,20400,38,5243,9.546,9.231,11.66,6.055,6.041,9.564,12.36,5.96,6.536,17.7,8.844,9.968,4.866,5.083,6.169,173.3,280.6,268.2,213.8,116.3,47.9,458.7,434.9,350.3,189,80.75,415.9,331.2,180.3,74.72,267.8,144,62.09,78.53,32.95,15.97,7.348
9,20450,38,3318,9.933,9.191,11.07,6.005,6.404,9.175,11.27,5.583,6.6,14.78,7.408,8.858,4.166,4.461,5.738,185.6,297.2,284.4,225.9,125.5,50.68,480.4,456.1,366.3,201.9,84.68,436.7,346.6,192.8,78.31,279.7,153.6,65.08,85.53,35.4,17.04,7.327
10,20500,38,4261,7.744,6.805,7.33,4.122,4.655,6.41,7.168,3.691,4.592,8.675,4.434,5.92,2.549,3.142,4.852,149.1,238.1,229.5,179.8,102.3,41.82,384.8,367.3,292,164.2,70.24,353.9,277.5,157.8,65.12,222.1,124.2,53.89,70.62,29.62,14.62,7.363
11,20550,38,5579,5.247,4.82,4.412,2.145,3.204,4.952,4.906,2.029,3.549,5.961,2.575,4.3,1.416,1.924,4.081,125.2,204.2,191,157.7,83.71,35.12,336.6,312.3,260.8,137.4,60.1,292.2,241,128.1,54.37,202.5,106.1,46.93,56.49,24.48,12.43,7.314
12,20600,38,3068,3.454,3.223,3.876,2.06,1.945,3.952,5.188,2.034,2.616,7.691,3.059,3.905,1.676,1.584,2.428,189.8,307.9,291.7,234.8,130.3,55.98,504.2,474.5,385.9,212.4,94.37,449.6,361.7,200.7,87.18,296.2,162.1,72.85,89.88,39.51,19.48,7.218
13,20650,38,3818,6.025,5.816,7.475,3.879,3.181,6.29,8.13,3.675,3.701,11.4,5.397,5.201,3.026,2.307,2.708,385.6,622.6,592,472.7,264.4,112.6,1009,957.1,767,427.8,184.5,910.1,726.6,406.4,173.9,583.5,324.9,140.6,181.8,78.07,35.07,7.304
14,20700,38,1309,9.706,8.641,8.762,4.613,4.076,8.776,9.099,3.843,4.21,10.81,4.869,4.87,3.032,2.189,2.481,203,318.8,308.9,238.3,137.8,53.75,504.5,486.1,378.3,216.9,87.04,470.9,363.4,210,82.66,284.1,162.2,65.74,93.97,37.17,16.32,7.389
15,20750,38,4800,9.123,8.156,9.234,5.059,4.254,8.471,9.678,4.233,4.271,11.56,5.153,5.143,3.173,2.48,2.723,341,529.9,511.3,396.1,226.1,83.1,826.8,795.7,618.8,352,131.5,767.4,594.8,339.4,125.5,463.3,263.1,98.77,150.4,55.81,22.22,7.239
16,20800,38,2822,6.365,5.911,6.976,3.688,3.304,6.509,7.88,3.304,3.535,9.971,4.177,4.359,2.379,1.949,2.234,248.1,397.7,373.5,299,164.8,68.97,641.9,600.2,483.3,264.4,113.2,563.6,451.2,248.5,104.8,364.2,198.7,85.54,109.9,46.25,21.06,7.335
17,20850,38,2383,8.308,7.986,9.695,4.901,3.784,8.782,10.67,4.449,4.015,13.45,5.774,5.131,3.244,2.366,2.443,257.9,418.3,386.6,315.2,166.8,71.33,682.5,628.9,515,271.1,118.3,580.9,473.9,250.5,108.4,389,204.3,89.58,108.3,46.82,21.76,7.265
18,20900,38,5727,7.249,6.708,8.597,4.718,3.926,7.126,9.651,4.614,4.652,13.85,6.459,6.808,3.452,3.061,3.754,338.1,551.6,505.1,418.9,216.9,92.95,903.1,825.2,686.7,354.2,153.8,755.5,626.8,324.4,139.9,522.6,268.9,117.1,139.6,60.23,27.32,7.269
19,20950,38,2582,14.52,13.87,17.18,8.919,7.841,14.35,18.53,8.866,8.591,24.92,11.63,11.66,5.904,5.392,5.774,443.9,710.8,660.1,533,282.3,113.9,1143,1059,858,452.4,185.2,983.1,794,420.3,170.8,645,339.2,139.4,180.1,73.14,31.29,7.304
20,21000,38,3597,14.05,15.05,18.69,8.275,7.796,17.06,21.82,9.159,9.21,28.67,11.84,12.13,5.171,4.958,5.405,479.6,776.2,718,580.2,302.3,126.7,1263,1165,945.3,490.3,209.5,1077,871,453.2,191.9,708.3,366.6,157.4,191.1,80.83,36.79,7.303
21,21050,38,2589,7.683,7.768,9.286,4.365,4.153,8.658,10.89,4.647,5.198,14.48,6.062,7.005,2.814,2.756,3.728,391.5,623.9,581.6,461.7,247.1,99.87,1002,930.1,743.5,394.9,163.6,865.9,688.9,367.8,150.5,553.1,292.5,122.4,156.5,64.02,28.53,7.354
22,21100,38,2257,15.83,16.54,21.26,9.996,9.34,18.27,24.25,10.87,10.95,33.08,14.56,15.11,6.683,6.504,7.141,396.3,641.6,594.3,479.6,254.1,108.5,1044,964.8,782.1,412.2,178.8,892.9,721.8,381.7,164.6,587,308.4,134.5,163.6,70.44,32.05,7.257
23,21150,38,2238,14.59,16.92,23.7,10.42,10.71,20.71,29.76,12.58,13.74,43.36,18.05,20.16,7.745,8.272,9.624,308.9,502.6,462.2,376,193.4,82.4,823.2,754.7,617.8,315.7,137.3,693.1,565.4,290.1,125.1,464.7,236.5,103.8,121.7,52.5,24.23,7.39
24,21200,38,1911,12.72,13.72,18.96,8.981,8.559,15.88,22.65,10.14,10.53,32.86,14.39,15.45,6.596,6.634,7.534,373,609.7,560.2,458.6,237.8,103.6,1002,918.6,756,389.9,173,843.1,691.8,357.9,157.6,571.5,293.6,131.2,152.1,67.08,31.33,7.403
25,21250,38,3665,14.97,14.58,18.64,9.537,7.866,15.1,19.94,9.627,8.563,26.91,12.65,11.56,6.276,5.333,5.181,330.2,543.6,499.4,407.7,212.8,96.49,901.4,825.4,678.7,351.8,163,757.1,620.3,322.7,148.1,512.7,264.5,123.7,137.7,63.26,31,7.38
26,21300,38,2529,11.65,11.21,14.4,7.487,5.831,11.57,15.52,7.576,6.398,21.52,10.17,8.895,5.083,4.145,3.97,374.5,604.3,562.7,452.3,243.7,103.6,981.2,911.4,736.9,395.5,171.8,847.5,683.6,367.5,158.3,555,297.3,130.5,160.1,69.49,32.43,7.327
27,21350,38,3798,6.879,6.684,8.281,4.13,2.538,7.41,10.03,4.473,3.463,14.51,6.174,5.464,2.877,2.251,2.692,279.9,456.8,421.8,343.9,182.9,80.75,751.2,691.5,567.7,299.9,135.7,637.6,521.9,276.6,123.8,430.7,226.8,103.4,120.4,53.95,26.16,7.323
28,21400,38,1978,7.783,8.701,12.26,5.591,4.686,10.47,15.25,6.587,6.174,22.78,9.719,9.716,4.348,4.124,4.759,206,335.7,309,251.5,131.7,57.49,555.1,507.8,418.7,217.4,99.63,465.8,381.9,199,89.33,317.2,163.9,76.77,85.8,39.42,21.14,7.316
29,21450,38,3293,8.194,8.827,12.76,6.21,5.669,10.16,15.19,7.052,7.004,23.57,10.88,11.41,5.242,5.291,6.033,330.6,526.6,489.6,387.6,210.6,87.27,845.5,783.3,624.9,337.9,144.4,727,578,313.2,132,462.9,249.8,108.3,135.7,58.11,27.79,7.383
30,21500,38,4578,11.54,11.6,15.42,7.733,6.419,12.57,17.42,8.213,7.567,25.1,11.59,11.32,5.653,5.157,5.581,289.6,460.5,427.6,339.4,184.7,76.17,736,682,543.8,294.6,123.8,632.7,503.5,273.3,113.9,402.4,217.6,92.06,118.5,49.67,22.31,7.381
31,21550,38,2724,7.045,7.732,10.72,4.995,4.952,9.405,13.41,5.676,6.2,19.69,8.297,9.292,3.86,3.989,4.61,343.8,548.5,508.6,405.8,216.8,88.57,880,814.7,653,347.8,145,754.9,604.1,321.9,133.2,485.8,258.3,108.8,138.2,57.88,26.18,7.302
32,21600,38,3021,8.037,8.679,12.58,6.134,5.915,10.37,15.03,6.595,7.212,22.55,10.15,11.14,5.153,5.035,5.792,423,679.7,630.4,505.3,269.1,112.3,1098,1017,818.4,434.3,184.8,941.9,757.1,402.2,169.9,610.9,323.7,138.9,172.3,73.32,33.45,7.196
33,21650,38,2465,7.589,9.206,12.78,5.306,5.908,12.04,16.61,6.285,7.875,24.39,9.912,12.28,4.669,5.152,6.637,339.2,548.9,508.8,408.7,217.4,93.37,896.6,828.1,670.8,355,157.4,766.1,618.6,328,143.7,503.6,265.8,119.8,141.1,62.71,30.94,7.203
34,21700,38,2059,4.092,4.606,5.469,2.143,1.784,5.972,7.339,2.423,2.838,11.93,5.147,6.481,2.933,3.227,4.602,306.8,500.9,460,375.5,197.7,87.57,825.9,756.1,622.8,326.1,149.2,693.2,569.1,298.5,135,471.6,246.2,114.6,129.5,59.49,30.18,7.368
35,21750,38,3428,6.602,8.296,9.898,3.273,3.266,11.63,13.57,3.574,4.467,17.56,5.714,6.862,2.91,2.759,3.46,243.9,389.7,360.7,289.8,156.7,65.23,628.3,580.1,470,253.1,108.7,536.1,433.3,233.6,99.45,353.3,190,83.18,102.9,44.76,21.49,7.292
36,21800,38,2334,8.428,8.93,11.91,5.551,3.872,10.49,13.58,5.41,4.377,19.27,8.654,7.425,4.873,3.803,3.954,171.8,275.3,256.6,207.5,114.8,48.37,448.6,416.1,342.4,186.9,82.68,386.6,316.4,173.4,75.59,263.9,142.8,65.3,78.58,34.94,17.6,7.267
37,21850,38,3723,7.939,7.841,12.41,6.895,5.806,8.595,13.49,6.774,6.315,23.75,12.79,12.95,7.661,7.483,8.421,248.4,405.4,377.3,308,168,74.69,668.3,619.7,511.5,276.6,126.2,575.6,473.1,256.8,116,394,211.8,98.39,115.1,52.51,25.64,7.325
38,21900,38,4310,4.646,4.89,7.281,3.693,3.276,6.856,9.832,3.542,4.032,15.58,6.48,7.238,3.905,3.587,4.083,250.7,408.9,378.7,306.7,165.4,73.94,675.5,622.6,511.4,273.3,126.7,575.1,469.7,251.9,115.2,390,207.1,98.43,111.3,51.8,26.6,7.28
39,21950,38,4566,3.58,3.9,5.279,2.405,1.791,5.098,6.833,2.46,2.402,11.61,5.305,5.875,3.222,3.274,4.341,288,463.5,430.4,344.5,183.7,77.31,751.4,695.9,561.7,298.7,128.9,645.3,519.2,276.5,118.3,422.1,224.1,98.45,119.8,52.43,24.95,7.256
40,22000,38,5008,2.51,2.202,3.895,2.517,2.456,2.825,4.792,2.234,2.929,11.33,6.489,8.386,4.566,5.22,7.029,210.6,348.1,321.1,263.5,137.2,61.95,580.1,533.3,442,228.8,105.8,491.1,405.2,210.5,96.5,338.9,174.8,82.25,91.5,42.71,21.39,7.222
41,22050,38,5749,4.261,4.496,6.772,3.471,3.475,5.454,8.003,3.505,4.193,14.7,7.637,9.009,4.707,5.021,6.597,243.5,392.3,366.3,295,161.8,69.16,634.1,591.3,477.9,261,112.6,552,445.1,244,104.9,361.1,196.5,85.1,108.6,46.9,20.93,7.305
42,22100,38,4600,15.94,17.67,18.05,5.954,1.781,20.88,19.8,4.858,0.5649,23.92,9.839,6.705,6.862,6.238,8.183,108.4,170.4,161.2,126.5,72.11,6.899,271.4,255.1,202.8,113.5,10.67,240.9,190,107.8,10.34,153.1,85.14,7.781,49.46,4.823,2.042,7.371
43,22150,38,2976,10.72,12.84,13.97,4.411,3.86,16.5,17.51,4.539,4.484,21.7,7.62,8.354,4.231,4.473,5.914,82.59,127.8,123.4,92.88,55.41,16.8,205,194.9,151.5,87.28,29.46,186.8,143.3,84.16,27.34,113.7,64.86,22.95,38.84,12.67,6.562,7.342
44,22200,38,2482,8.896,9.121,10.89,4.928,3.397,10.21,11.82,4.535,3.381,14.65,6.288,4.881,3.561,2.602,2.455,161.3,261.3,253,205.3,123.8,49.51,429,413.3,338.6,201.9,82.62,399.2,325.9,195.8,79.4,268.5,160.1,66.01,97.24,39.36,16.98,7.311
45,22250,38,3251,6.218,7.076,7.957,2.855,1.855,9.842,11.05,2.671,2.487,13.29,3.703,3.502,2.044,1.309,1.561,80.67,131.9,126.3,102.1,58.59,24.07,220.4,209.6,172,97.37,41.15,200.1,163.5,93.62,39.28,135.3,76.99,32.92,45.48,19.26,8.841,7.275
46,22300,38,2822,12.56,15.24,17.67,5.927,4.974,19.34,22.35,6.89,6.369,27.15,9.082,8.717,3.752,3.342,3.877,128.8,206,200.2,164.6,95.05,40.72,336.6,324.6,270.1,154.4,68.53,314.3,260.6,150.1,65.93,217.8,124.8,56.13,73.1,32.42,15.72,7.418
47,22350,38,3880,19.77,20.84,26.07,11.77,9.246,22.94,28.45,12.01,9.889,36.93,16.39,13.97,8.191,6.767,6.202,176.9,271.8,263.7,211,119.3,46.72,425.4,409.7,331.6,185.4,75.82,396.1,319.2,179.8,72.48,259.3,145.1,60.15,82.72,33.63,15.34,7.321
48,22400,38,3637,10.81,11.97,15.76,6.945,6.029,14.32,18.78,7.448,7.007,27.68,12.27,12.44,6.476,6.394,6.945,142.7,226,217.4,174.9,99.06,41.78,364.9,348.2,283.9,158.8,70.08,333.8,270.8,152.8,66.41,222,124.3,55.77,71.19,31.22,15.36,7.38
49,22450,38,2603,12.43,13.87,16.99,6.961,5.887,16.63,21.25,8.191,7.952,29.99,12.16,13.27,5.508,5.815,7.245,117.3,179.7,176.8,142.4,86.12,32.98,285.5,276.1,227.6,133.3,55.47,269.6,219.8,131.2,52.8,182.2,106.4,45.04,64.83,25.79,12.5,7.325
50,22500,38,5290,11,13.26,15.01,4.918,3.905,17,19.97,6.193,5.668,26.27,9.061,9.655,3.765,4.051,5.144,130.7,212.1,203,170.1,97.08,43.42,351.7,333.6,283.3,159.4,74.47,318,268.5,152.5,70.2,229,128.9,61.03,73.97,34.28,17.48,7.389
51,22550,38,5270,10.77,11.43,12.97,5.328,3.683,13.26,15.67,5.81,4.732,21.34,8.684,8.424,4.262,4.012,4.572,140,220,210,170.6,95.57,37.97,351.8,333.5,275,152.5,63.59,317.3,260.1,145.2,59.66,216.4,119.8,51.16,67.4,28.29,13.53,7.33
52,22600,38,2724,6.604,6.124,5.858,2.686,1.229,6.778,6.734,2.196,1.434,8.903,3.762,3.619,2.552,2.164,2.537,150.9,247,233.1,198.2,108.4,49.11,409.9,384.6,331.6,179.4,83.94,362.1,310.2,169,78.16,270.1,145.3,69.37,79.67,37.26,18.81,7.288
53,22650,38,3279,9.68,8.967,12.34,6.941,5.508,9.595,12.09,5.4,4.747,19.11,10.75,9.852,7.739,6.637,6.24,196.2,328.7,305.6,262.4,137.5,65.41,558.6,516.3,450.6,233.5,115.3,478.7,414.8,216.7,105.5,366.7,188.7,95.75,99.29,49.06,26.62,7.355
54,22700,38,2129,8.091,8.192,9.624,4.426,3.615,9.651,11.33,4.104,4.05,15.32,6.414,6.572,3.786,3.315,3.472,357.3,582,547.5,453.9,243.6,107.6,955.2,896.1,749.3,400,180.8,841.9,701.6,375.8,168.5,590.8,314.2,144.6,168.9,76.62,37.29,7.281
55,22750,38,3321,5.621,5.981,7.426,3.304,2.839,7.567,9.55,3.378,3.687,13.93,5.644,6.249,3.116,2.846,3.203,232.8,377.1,358.4,297,164.5,73.91,616.5,583.8,488.5,268.7,123.9,553.9,461.7,255.1,116.6,389.1,213.2,100.1,118.3,54.75,27.28,7.294
56,22800,38,2364,5.378,5.214,8.482,4.883,4.64,6.309,9.96,4.607,5.235,17.44,8.829,9.724,5.474,5.234,5.651,227.9,377.4,354.7,301.2,162.9,77.13,629.8,590.3,504.7,271.7,131.1,554.1,472.5,255.3,122.6,405.9,218.1,106.5,118.5,57.58,29.6,7.243
57,22850,38,3310,10.94,11.49,17.93,9.401,9.412,13.36,20.43,9.591,10.39,33.6,16.81,17.9,9.527,9.443,9.867,163.6,274.2,254.2,220.6,114.3,53.27,465.1,429.1,376.5,193.3,92.69,397,346.7,179.1,85.25,306,156.7,76.45,81.54,39.43,20.68,7.35
58,22900,38,5505,9.876,10.85,14.57,6.642,6.664,12.94,17.51,7.245,7.957,27.31,12.59,13.92,6.73,6.952,7.704,226.3,384.2,357.5,312.8,165.8,83.05,657.1,609.6,537.2,283.1,144.2,566.4,497.7,263.1,133.3,440.4,231.6,119.1,122.6,62.55,33.25,7.27
59,22950,38,2762,10.99,12.42,16.86,7.46,7.385,15.38,20.22,7.737,8.477,29.89,13.23,14.14,7.311,7.084,7.525,136.1,219.8,208.8,175.9,95.93,43.28,359.8,339.7,289.7,156.3,72.89,321.6,272.9,148.1,68.26,234.1,125.8,59.71,68.41,31.85,16.27,7.34
60,23000,38,2876,9.681,10.39,12.14,5.068,4.19,12.48,14.75,5.192,5.004,18.9,7.186,7.121,3.604,3.068,3.234,173.6,278.3,265.7,220.6,121.3,55.4,453.4,429.8,362.7,196.9,93.61,408.8,342.6,187.2,87.62,291.9,157.4,76.68,85.98,40.76,21.4,7.325
