  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
1,20050,38,5.16E-03,9.561,11.2,11.67,5.889,3.124,13.49,13.57,7.036,3.4,14.57,7.199,3.991,3.726,1.865,1.255,244.5,380.6,334.1,253.8,118.5,50.57,593.7,520.2,396,184.3,79.09,456.7,346.9,162,69.14,264.3,122.9,52.85,57.53,24.51,10.65,0.2322
2,20100,38,2.54E-03,14.46,17.43,17.64,9.489,4.603,21.3,21.19,11.57,5.361,21.88,11.59,5.789,6.326,2.968,1.644,147.1,230.3,201.6,153.9,72.09,31.31,361.7,315.8,241.9,112.8,49.43,276.5,211.1,98.9,42.98,161.9,75.46,33.21,35.5,15.43,6.943,0.2363
3,20150,38,4.04E-03,9.039,10.53,10.83,5.752,3.034,12.7,12.65,6.922,3.307,13.32,6.962,3.741,3.81,1.844,1.194,142,223.7,194.7,150,69.52,30.9,353.6,306.7,237.2,109.4,49.09,266.9,205.7,95.33,42.39,159.3,73.39,33.05,34.12,15.15,6.954,0.2344
4,20200,38,2.43E-03,11.9,13.5,14.14,7.252,4.109,15.87,15.98,8.447,4.3,17.23,8.679,5.081,4.568,2.412,1.725,112.5,178.6,153.7,119.5,53.89,24.27,284.5,244.1,190.5,85.45,38.8,210.1,163.4,73.69,33.2,127.6,57.23,26.07,25.93,11.66,5.397,0.2351
5,20250,38,2.72E-03,12.87,15.26,15.56,8.29,4.196,18.41,18.33,9.978,4.752,19.25,10.02,5.291,5.454,2.632,1.576,101.5,160.6,139,107.3,49.15,21.72,254.8,220,170.3,77.7,34.59,190.4,147,67.35,29.78,113.9,51.97,23.26,23.91,10.58,4.853,0.235
6,20300,38,4.33E-03,11.44,13.42,13.63,7.168,3.692,16.16,15.82,8.645,4.053,16.64,8.497,4.63,4.669,2.193,1.426,63.4,99.51,86.59,65.92,30.24,12.8,157,135.9,104.1,47.39,20.36,118.3,90.09,41.36,17.54,69.26,31.52,13.72,14.59,6.24,2.882,0.2346
7,20350,38,2.77E-03,11.41,13.29,13.62,7.2,3.794,15.89,15.7,8.623,4.147,16.64,8.614,4.779,4.762,2.309,1.512,165.3,259.7,225.9,172.4,79.11,33.94,408.7,354.8,271.5,124.2,53.65,308.7,235.5,108.1,46.41,180.5,82.49,35.79,37.95,16.3,7.217,0.2352
8,20400,38,4.72E-03,8.95,10.24,10.91,5.664,3.191,12.02,12.5,6.689,3.515,13.64,6.988,4.015,3.787,1.972,1.263,122.1,190.2,166.9,126.4,58.92,25.08,297.4,260,197.8,91.65,39.42,228.1,172.8,80.55,34.3,131.7,60.94,26.34,28.51,12.12,5.358,0.2363
9,20450,38,3.89E-03,7.992,9.128,9.259,4.962,2.687,10.74,10.55,5.922,2.925,10.98,5.796,3.228,3.351,1.602,1.021,128,199.9,174.7,133.1,61.45,26.43,313.6,273,209.1,95.94,41.82,238.6,181.8,83.93,36.11,139.6,63.9,28.06,29.57,12.71,5.773,0.2356
10,20500,38,1.84E-03,5.192,5.918,5.802,3.38,1.771,6.925,6.577,3.949,1.907,6.697,3.825,2.09,2.343,1.155,0.7262,121.2,190.4,165.8,127.1,58.57,25.62,300.3,260.5,200.7,91.94,40.68,226.7,173.9,80.14,35.06,134.4,61.41,27.38,28.4,12.42,5.71,0.2368
11,20550,38,5.74E-03,5.188,5.568,5.686,3.12,1.898,6.251,6.122,3.516,1.897,6.506,3.523,2.189,2.051,1.116,0.8268,106.1,167.9,144.8,112.3,50.45,22.68,266.7,229.1,178.6,79.78,36.27,197.5,153.2,68.86,30.97,119.7,53.4,24.46,24.1,10.84,5.122,0.2353
12,20600,38,3.94E-03,3.608,4.08,4.099,2.217,1.213,4.894,4.602,2.689,1.221,4.994,2.572,1.525,1.554,0.7025,0.5515,143,227.3,195.5,152.4,68.58,31.22,363,310.8,243.7,109,50.25,267.2,208.4,93.79,42.72,163.8,73.09,33.93,33.01,15.03,7.17,0.2322
13,20650,38,4.40E-03,8.99,9.941,11.09,5.413,3.4,11.37,12.26,6.276,3.589,13.98,6.768,4.324,3.546,1.97,1.423,221.7,351.2,302.3,233.4,104.6,45.67,557.7,479.1,370.8,165.7,72.75,412.3,318.4,142.7,62.32,246.7,110.1,48.51,49.47,21.61,9.65,0.2349
14,20700,38,4.65E-04,7.073,7.676,8.235,4.046,2.554,8.727,8.884,4.663,2.563,9.977,4.75,3.144,2.546,1.36,1.093,128,199,174.4,131.5,60.71,25.04,310.8,271.4,205.5,94.39,39.41,237.8,179.3,82.85,34.18,136,62.37,26.18,28.98,11.93,5.137,0.2376
15,20750,38,3.54E-03,6.033,6.47,7.085,3.58,2.321,7.303,7.469,4.035,2.247,8.639,4.179,2.907,2.279,1.284,1.096,237.6,363,322,237.4,110,42.61,555.9,492.1,363.7,168.1,65.48,436.3,321.8,149.1,57.79,238.1,110,42.95,51.05,19.79,7.835,0.2331
16,20800,38,4.46E-03,3.452,3.665,4.314,2.021,1.418,4.174,4.593,2.334,1.367,5.686,2.558,1.858,1.346,0.7621,0.6864,156.4,242.5,211.4,159.1,70.97,28.81,377.1,327.9,247.5,110,45.03,285.9,215.1,96.02,38.99,162.5,72.18,29.66,32.35,13.12,5.514,0.2364
17,20850,38,5.53E-03,4.235,4.445,5.221,2.414,1.729,5.028,5.445,2.748,1.612,6.723,2.994,2.25,1.546,0.8963,0.8624,145,226.8,196,148.6,65.22,27.21,355.5,306.7,233.1,102,42.85,265,201,88.23,36.82,153,66.87,28.21,29.47,12.29,5.306,0.234
18,20900,38,8.48E-03,2.488,2.535,2.947,1.416,1.034,2.811,3.009,1.596,0.9403,3.905,1.763,1.371,0.9404,0.5484,0.5445,203.8,318.4,275.9,209.7,92.79,39.55,497.9,430.9,328.1,144.9,62.02,373.4,283.8,125.7,53.57,216.2,95.44,40.94,42.41,18.04,7.845,0.2337
19,20950,38,2.11E-03,5.064,5.307,5.865,2.963,1.97,5.839,6.171,3.303,1.94,7.15,3.507,2.407,1.902,1.095,0.8809,238.5,369.4,323.6,241.7,109.8,44.22,573.1,501.2,375.2,170.1,68.82,439,327.9,149.1,60.04,245.7,111.3,45.16,50.75,20.43,8.422,0.2353
20,21000,38,2.74E-03,6.804,7.454,8.355,4.062,2.586,8.453,9.229,4.644,2.714,10.6,5.08,3.258,2.578,1.486,1.082,291.9,459.5,396.3,302.1,133.9,57.4,724.7,624.1,476.7,210.8,90.88,538.2,410.3,181.9,78,313.7,138.6,59.92,61.56,26.39,11.59,0.2348
21,21050,38,3.62E-03,5.134,5.377,6.258,2.986,2.068,5.991,6.526,3.376,1.988,8.053,3.689,2.702,1.932,1.114,0.9929,231,360.1,312.9,235.5,105.1,43.27,562.4,487.9,368.3,164,67.98,424.1,319.2,142.6,58.69,241.3,107.3,44.7,48.02,19.79,8.445,0.2362
22,21100,38,2.37E-03,6.461,7.074,8.389,4.039,2.608,8.057,9.196,4.636,2.702,11.17,5.309,3.491,2.692,1.554,1.176,207.4,324,282,213.6,96.64,40.27,506.7,440.5,334.3,151,63.25,383.4,290.4,131.5,54.79,220.7,99.57,41.85,45.17,18.83,8.048,0.2338
