  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
1,20050,38,0.5106,163.4,200.6,179.4,106.5,38.01,262.2,223.2,137,39.48,202.9,122.2,45.93,75.1,26.26,17.93,5538,8374,7541,5613,2712,1145,1.27E+04,1.14E+04,8521,4108,1746,1.03E+04,7656,3703,1565,5732,2758,1180,1335,564.8,245.6,11.23
2,20100,38,0.1874,228.4,293.9,260.6,159.4,54.5,394.5,340.4,212.4,64.39,304.8,187.6,65.73,116.8,38.77,20.02,3899,5918,5317,3977,1923,795.1,9018,8091,6083,2934,1228,7276,5451,2639,1097,4119,1981,838.6,959.7,401,175,11.45
3,20150,38,0.4174,212.9,262.6,236.7,143.7,53.91,342.9,297.9,185.7,59.63,271.5,166.5,63.95,103.7,37.48,22.07,4273,6535,5876,4426,2138,884,1.00E+04,9000,6814,3281,1371,8095,6105,2951,1223,4645,2229,941,1077,447.9,194.4,11.34
4,20200,38,0.324,183.3,215.7,183.7,109.4,34.83,280.4,221,137.7,27.77,196.9,118.9,43.79,73.34,23.6,23.98,3094,4778,4257,3268,1548,679.3,7408,6585,5084,2399,1063,5871,4510,2138,939.6,3500,1646,736,780.2,343.7,156.9,11.37
5,20250,38,0.2192,241.9,297.1,263.5,163,59.33,388.8,327.3,208.6,60.84,292.8,181.8,67.44,114.8,38.66,24.99,3026,4668,4192,3185,1536,660.5,7227,6477,4949,2377,1034,5818,4429,2135,921.3,3401,1628,715.4,784.5,339.9,153.4,11.38
6,20300,38,0.3252,167.2,202.3,167.1,105.7,31.36,265.3,207.8,136,29.37,179.4,113.1,37.98,72.86,21.02,17.06,2010,3109,2750,2120,1008,447.8,4849,4270,3333,1573,714.4,3775,2923,1388,622.2,2307,1082,500.7,512.5,232,111.8,11.34
7,20350,38,0.2761,208.8,245.1,218.9,136.5,53.7,301.8,260.4,166.3,57.35,242,150.3,64.64,94.98,37.64,24.34,4611,7180,6366,4933,2343,1052,1.12E+04,9930,7735,3662,1661,8800,6834,3243,1462,5349,2524,1155,1197,541.6,253.1,11.38
8,20400,38,0.3048,151.3,168.7,166.2,99,49.94,202.5,191.5,118.2,52.42,203.8,121,68.69,73.39,38.23,29.77,3552,5501,4902,3761,1803,795.7,8566,7611,5885,2806,1255,6780,5215,2497,1107,4061,1928,872.8,921.8,410.8,190.5,11.44
9,20450,38,0.3579,183.1,207.1,201.2,122.8,60.36,248.7,232.1,146.2,63.59,233.7,142.5,73.93,88.56,42.49,28.81,3390,5222,4646,3549,1704,735.3,8095,7176,5535,2640,1160,6379,4890,2343,1018,3805,1804,805.3,862.8,377.6,174.1,11.41
10,20500,38,0.2738,143.8,165.6,151.9,99.32,44.34,198.5,179.5,118.7,49.93,172.8,112.2,54.17,73.73,34.25,20.74,3288,5105,4553,3496,1685,733.3,7962,7084,5475,2625,1158,6314,4860,2338,1024,3780,1803,806.1,867,380.9,174.9,11.45
11,20550,38,0.3748,99,109.3,98.86,65.49,29.8,136.3,115.3,78.79,27.44,111.2,72.68,35.69,48.43,21.41,17.55,3326,5129,4560,3495,1666,727.6,7940,7045,5429,2578,1139,6263,4808,2291,1005,3726,1761,786.9,839.2,368.9,168.9,11.4
12,20600,38,0.4128,94.2,115.9,101.4,67.77,25.75,153.3,127.8,87.69,27.34,123.7,80.05,37.14,53.26,21.55,17.28,3887,6023,5374,4125,1968,875.5,9362,8340,6434,3057,1373,7442,5722,2729,1218,4436,2099,952,1002,447.1,206.7,11.24
